id,entityid,email,DEFAULTSHIPPINGADDRESS,,,
570,Edison International,AP@Edison.com,100745,,,
571,Regeneron Pharmaceuticals,AP@Regeneron.com,100941,,,
572,MetLife,AP@MetLife.com,101149,,,
573,Jones Financial (Edward Jones),AP@Jones.com,100792,,,
574,HD Supply Holdings,AP@HD.com,100948,,,
575,Assurant,AP@Assurant.com,100686,,,
576,PBF Energy,AP@PBF.com,100839,,,
577,FirstEnergy,AP@FirstEnergy.com,100862,,,
578,Boston Scientific,AP@Boston.com,101061,,,
579,United Rentals,AP@United.com,100990,,,
580,HCA Healthcare,AP@HCA.com,100682,,,
581,Avnet,AP@Avnet.com,101077,,,
582,USAA,AP@USAA.com,101092,,,
583,American Airlines Group,AP@American.com,100768,,,
584,Spirit AeroSystems Holdings,AP@Spirit.com,100841,,,
585,Blackstone Group,AP@Blackstone.com,100946,,,
586,Netflix,AP@Netflix.com,101114,,,
587,State Farm Insurance,AP@State.com,100859,,,
588,Western & Southern Financial Group,AP@Western.com,100842,,,
589,Casey's General Stores,AP@Casey's.com,100786,,,
590,Archer Daniels Midland,AP@Archer.com,101129,,,
591,Insight Enterprises,AP@Insight.com,100885,,,
592,Lam Research,AP@Lam.com,101068,,,
593,Ameriprise Financial,AP@Ameriprise.com,100849,,,
594,DISH Network,AP@DISH.com,100778,,,
595,United States Steel,AP@United.com,100919,,,
596,Aflac,AP@Aflac.com,100904,,,
597,NRG Energy,AP@NRG.com,100856,,,
598,Dick's Sporting Goods,AP@Dick's.com,101069,,,
599,Auto-Owners Insurance,AP@Auto-Owners.com,100901,,,
600,Leidos Holdings,AP@Leidos.com,100864,,,
601,Zimmer Biomet Holdings,AP@Zimmer.com,101078,,,
602,Asbury Automotive Group,AP@Asbury.com,101000,,,
603,NextEra Energy,AP@NextEra.com,100996,,,
604,AT&T,AP@AT&T.com,100836,,,
605,Tenneco,AP@Tenneco.com,101051,,,
606,Northrop Grumman,AP@Northrop.com,100692,,,
607,Sempra Energy,AP@Sempra.com,100693,,,
608,Goodyear Tire & Rubber,AP@Goodyear.com,100758,,,
609,Loews,AP@Loews.com,101010,,,
610,Alaska Air Group,AP@Alaska.com,100729,,,
611,Altice USA,AP@Altice.com,100849,,,
612,EMCOR Group,AP@EMCOR.com,100820,,,
613,Frontier Communications,AP@Frontier.com,101066,,,
614,Apache,AP@Apache.com,100919,,,
615,J.B. Hunt Transport Services,AP@J.B..com,100867,,,
616,Gap,AP@Gap.com,101137,,,
617,Principal Financial,AP@Principal.com,100786,,,
618,American Express,AP@American.com,101134,,,
619,Toll Brothers,AP@Toll.com,100981,,,
620,Home Depot,AP@Home.com,100736,,,
621,Intercontinental Exchange,AP@Intercontinental.com,100992,,,
622,Illinois Tool Works,AP@Illinois.com,101063,,,
623,Ford Motor,AP@Ford.com,100943,,,
624,Genuine Parts,AP@Genuine.com,100717,,,
625,Seaboard,AP@Seaboard.com,100879,,,
626,CenturyLink,AP@CenturyLink.com,100682,,,
627,Erie Insurance Group,AP@Erie.com,101080,,,
628,Freddie Mac,AP@Freddie.com,100790,,,
629,Harris,AP@Harris.com,100913,,,
630,Marathon Petroleum,AP@Marathon.com,100736,,,
631,Estee Lauder,AP@Estee.com,100755,,,
632,Union Pacific,AP@Union.com,100762,,,
633,Southwest Airlines,AP@Southwest.com,100831,,,
634,Fannie Mae,AP@Fannie.com,100868,,,
635,Freeport-McMoRan,AP@Freeport-McMoRan.com,100889,,,
636,Anadarko Petroleum,AP@Anadarko.com,100697,,,
637,Bed Bath & Beyond,AP@Bed.com,100934,,,
638,Walt Disney,AP@Walt.com,101032,,,
639,Dean Foods,AP@Dean.com,100858,,,
640,Xerox,AP@Xerox.com,100861,,,
641,AECOM,AP@AECOM.com,100871,,,
642,Owens & Minor,AP@Owens.com,101131,,,
643,Simon Property Group,AP@Simon.com,100688,,,
644,PepsiCo,AP@PepsiCo.com,100684,,,
645,Emerson Electric,AP@Emerson.com,100683,,,
646,Oracle,AP@Oracle.com,100718,,,
647,Mastercard,AP@Mastercard.com,100769,,,
648,Yum Brands,AP@Yum.com,101125,,,
649,Alphabet,AP@Alphabet.com,100851,,,
650,Coty,AP@Coty.com,100830,,,
651,Hewlett Packard Enterprise,AP@Hewlett.com,101125,,,
652,R.R. Donnelley & Sons,AP@R.R..com,100785,,,
653,Ally Financial,AP@Ally.com,101053,,,
654,Ameren,AP@Ameren.com,100810,,,
655,ManpowerGroup,AP@ManpowerGroup.com,100782,,,
656,Tapestry,AP@Tapestry.com,101146,,,
657,Nordstrom,AP@Nordstrom.com,100993,,,
658,Western Union,AP@Western.com,101135,,,
659,Steel Dynamics,AP@Steel.com,101100,,,
660,Performance Food Group,AP@Performance.com,100678,,,
661,Prudential Financial,AP@Prudential.com,100852,,,
662,Microsoft,AP@Microsoft.com,100763,,,
663,CDW,AP@CDW.com,100701,,,
664,CVS Health,AP@CVS.com,100864,,,
665,Amgen,AP@Amgen.com,100950,,,
666,Texas Instruments,AP@Texas.com,101104,,,
667,Newmont Goldcorp,AP@Newmont.com,100749,,,
668,Ralph Lauren,AP@Ralph.com,100879,,,
669,DTE Energy,AP@DTE.com,100996,,,
670,Albertsons,AP@Albertsons.com,100666,,,
671,IBM,AP@IBM.com,100722,,,
672,American Electric Power,AP@American.com,101017,,,
673,General Electric,AP@General.com,101073,,,
674,BB&T Corp.,AP@BB&T.com,100973,,,
675,Southern,AP@Southern.com,100670,,,
676,Citizens Financial Group,AP@Citizens.com,100775,,,
677,Olin,AP@Olin.com,101077,,,
678,Cisco Systems,AP@Cisco.com,101011,,,
679,Burlington Stores,AP@Burlington.com,101130,,,
680,Dana,AP@Dana.com,100820,,,
681,Johnson & Johnson,AP@Johnson.com,100902,,,
682,Nike,AP@Nike.com,100758,,,
683,Deere,AP@Deere.com,100793,,,
684,salesforce.com,AP@salesforce.com.com,101109,,,
685,Chevron,AP@Chevron.com,100775,,,
686,Tyson Foods,AP@Tyson.com,100909,,,
687,Dover,AP@Dover.com,101008,,,
688,Laboratory Corp. of America,AP@Laboratory.com,101117,,,
689,Aramark,AP@Aramark.com,100859,,,
690,Fifth Third Bancorp,AP@Fifth.com,101082,,,
691,Builders FirstSource,AP@Builders.com,100942,,,
692,Fidelity National Information Services,AP@Fidelity.com,100824,,,
693,Unum Group,AP@Unum.com,100653,,,
694,Vistra Energy,AP@Vistra.com,101012,,,
695,Biogen,AP@Biogen.com,101070,,,
696,EOG Resources,AP@EOG.com,100794,,,
697,Valero Energy,AP@Valero.com,101070,,,
698,AIG,AP@AIG.com,100660,,,
699,iHeartMedia,AP@iHeartMedia.com,100862,,,
700,Alleghany,AP@Alleghany.com,100908,,,
701,Tenet Healthcare,AP@Tenet.com,101003,,,
702,Eastman Chemical,AP@Eastman.com,101000,,,
703,Williams-Sonoma,AP@Williams-Sonoma.com,101074,,,
704,Delta Air Lines,AP@Delta.com,101122,,,
705,Philip Morris International,AP@Philip.com,101039,,,
706,Masco,AP@Masco.com,100804,,,
707,Supervalu,AP@Supervalu.com,101055,,,
708,Merck,AP@Merck.com,100973,,,
709,Reinsurance Group of America,AP@Reinsurance.com,100971,,,
710,Visa,AP@Visa.com,100994,,,
711,AmerisourceBergen,AP@AmerisourceBergen.com,100813,,,
712,Mohawk Industries,AP@Mohawk.com,100804,,,
713,Parker-Hannifin,AP@Parker-Hannifin.com,100824,,,
714,State Street Corp.,AP@State.com,100970,,,
715,Kohl's,AP@Kohl's.com,100837,,,
716,Ecolab,AP@Ecolab.com,100890,,,
717,Yum China Holdings,AP@Yum.com,100959,,,
718,Caesars Entertainment,AP@Caesars.com,101138,,,
719,Fortive,AP@Fortive.com,100842,,,
720,SpartanNash,AP@SpartanNash.com,100993,,,
721,MGM Resorts International,AP@MGM.com,101148,,,
722,Core-Mark Holding,AP@Core-Mark.com,100800,,,
723,AK Steel Holding,AP@AK.com,100869,,,
724,TIAA,AP@TIAA.com,100871,,,
725,Arrow Electronics,AP@Arrow.com,101051,,,
726,Progressive,AP@Progressive.com,101150,,,
727,Tesla,AP@Tesla.com,100816,,,
728,UGI,AP@UGI.com,100745,,,
729,American Family Insurance Group,AP@American.com,101042,,,
730,Consolidated Edison,AP@Consolidated.com,100712,,,
731,Hess,AP@Hess.com,100989,,,
732,HollyFrontier,AP@HollyFrontier.com,100711,,,
733,Oshkosh,AP@Oshkosh.com,100732,,,
734,DCP Midstream,AP@DCP.com,101025,,,
735,BlackRock,AP@BlackRock.com,100727,,,
736,Owens-Illinois,AP@Owens-Illinois.com,100743,,,
737,Adobe,AP@Adobe.com,101125,,,
738,Weyerhaeuser,AP@Weyerhaeuser.com,100845,,,
739,Rite Aid,AP@Rite.com,100912,,,
740,Packaging Corp. of America,AP@Packaging.com,100885,,,
741,Walmart,AP@Walmart.com,100956,,,
742,ON Semiconductor,AP@ON.com,101149,,,
743,Advance Auto Parts,AP@Advance.com,100843,,,
744,CMS Energy,AP@CMS.com,100739,,,
745,PulteGroup,AP@PulteGroup.com,100733,,,
746,Jefferies Financial Group,AP@Jefferies.com,100651,,,
747,Nationwide,AP@Nationwide.com,100722,,,
748,Massachusetts Mutual Life Insurance,AP@Massachusetts.com,100867,,,
749,Owens Corning,AP@Owens.com,100970,,,
750,Boeing,AP@Boeing.com,100821,,,
751,Fiserv,AP@Fiserv.com,100719,,,
752,Energy Transfer,AP@Energy.com,100854,,,
753,PPG Industries,AP@PPG.com,100660,,,
754,Norfolk Southern,AP@Norfolk.com,100740,,,
755,Marriott International,AP@Marriott.com,100975,,,
756,Best Buy,AP@Best.com,100783,,,
757,Berry Global Group,AP@Berry.com,100718,,,
758,Murphy USA,AP@Murphy.com,100887,,,
759,Delek US Holdings,AP@Delek.com,100891,,,
760,Bank of America,AP@Bank.com,100824,,,
761,CSX,AP@CSX.com,101050,,,
762,CBS,AP@CBS.com,100816,,,
763,Community Health Systems,AP@Community.com,100879,,,
764,Sysco,AP@Sysco.com,101052,,,
765,Cardinal Health,AP@Cardinal.com,100696,,,
766,Lennar,AP@Lennar.com,101029,,,
767,Republic Services,AP@Republic.com,100962,,,
768,TreeHouse Foods,AP@TreeHouse.com,100983,,,
769,General Mills,AP@General.com,100883,,,
770,Caterpillar,AP@Caterpillar.com,100880,,,
771,Thor Industries,AP@Thor.com,100998,,,
772,PayPal Holdings,AP@PayPal.com,100704,,,
773,A-Mark Precious Metals,AP@A-Mark.com,100826,,,
774,Raymond James Financial,AP@Raymond.com,100996,,,
775,American Financial Group,AP@American.com,101135,,,
776,Dollar General,AP@Dollar.com,100697,,,
777,Henry Schein,AP@Henry.com,100902,,,
778,Pacific Life,AP@Pacific.com,100867,,,
779,Keurig Dr Pepper,AP@Keurig.com,100918,,,
780,Travelers,AP@Travelers.com,100709,,,
781,Anthem,AP@Anthem.com,100875,,,
782,Huntsman,AP@Huntsman.com,100945,,,
783,Mosaic,AP@Mosaic.com,100989,,,
784,Lithia Motors,AP@Lithia.com,101033,,,
785,HP,AP@HP.com,101126,,,
786,Cummins,AP@Cummins.com,101013,,,
787,Tech Data,AP@Tech.com,100736,,,
788,Northwestern Mutual,AP@Northwestern.com,100656,,,
789,Peabody Energy,AP@Peabody.com,100879,,,
790,AGCO,AP@AGCO.com,100846,,,
791,Stryker,AP@Stryker.com,101078,,,
792,Wayfair,AP@Wayfair.com,101022,,,
793,Intuit,AP@Intuit.com,100973,,,
794,WellCare Health Plans,AP@WellCare.com,100997,,,
795,MasTec,AP@MasTec.com,100923,,,
796,Plains GP Holdings,AP@Plains.com,101078,,,
797,Ascena Retail Group,AP@Ascena.com,100715,,,
798,Genworth Financial,AP@Genworth.com,100894,,,
799,United Parcel Service,AP@United.com,101028,,,
800,ADP,AP@ADP.com,101144,,,
801,Halliburton,AP@Halliburton.com,100863,,,
802,Hanesbrands,AP@Hanesbrands.com,100998,,,
803,Nvidia,AP@Nvidia.com,100757,,,
804,CarMax,AP@CarMax.com,100720,,,
805,Westlake Chemical,AP@Westlake.com,100779,,,
806,Synchrony Financial,AP@Synchrony.com,100983,,,
807,Broadcom,AP@Broadcom.com,100694,,,
808,Amazon.com,AP@Amazon.com.com,101071,,,
809,WEC Energy Group,AP@WEC.com,101130,,,
810,Danaher,AP@Danaher.com,100884,,,
811,WestRock,AP@WestRock.com,100702,,,
812,Dell Technologies,AP@Dell.com,100682,,,
813,Hilton Worldwide Holdings,AP@Hilton.com,100651,,,
814,Jones Lang LaSalle,AP@Jones.com,100808,,,
815,Dillard's,AP@Dillard's.com,101042,,,
816,Voya Financial,AP@Voya.com,100724,,,
817,Thermo Fisher Scientific,AP@Thermo.com,101030,,,
818,Markel,AP@Markel.com,100987,,,
819,Newell Brands,AP@Newell.com,101085,,,
820,Jacobs Engineering Group,AP@Jacobs.com,100894,,,
821,Graphic Packaging Holding,AP@Graphic.com,101009,,,
822,Micron Technology,AP@Micron.com,100823,,,
823,Harley-Davidson,AP@Harley-Davidson.com,100957,,,
824,Kraft Heinz,AP@Kraft.com,100674,,,
825,Williams,AP@Williams.com,100737,,,
826,AutoNation,AP@AutoNation.com,101033,,,
827,First Data,AP@First.com,100954,,,
828,Cintas,AP@Cintas.com,100714,,,
829,Pfizer,AP@Pfizer.com,100973,,,
830,WESCO International,AP@WESCO.com,100893,,,
831,Avis Budget Group,AP@Avis.com,100849,,,
832,Graybar Electric,AP@Graybar.com,100684,,,
833,Hertz Global Holdings,AP@Hertz.com,100901,,,
834,Arthur J. Gallagher,AP@Arthur.com,101081,,,
835,Western Digital,AP@Western.com,100794,,,
836,Discovery,AP@Discovery.com,100991,,,
837,Wynn Resorts,AP@Wynn.com,100728,,,
838,Sonic Automotive,AP@Sonic.com,100860,,,
839,Calpine,AP@Calpine.com,100831,,,
840,Procter & Gamble,AP@Procter.com,100885,,,
841,General Motors,AP@General.com,101057,,,
842,Twenty-First Century Fox,AP@Twenty-First.com,100841,,,
843,Macy's,AP@Macy's.com,100877,,,
844,Discover Financial Services,AP@Discover.com,100912,,,
845,Enterprise Products Partners,AP@Enterprise.com,100706,,,
846,DXC Technology,AP@DXC.com,101106,,,
847,Rockwell Collins,AP@Rockwell.com,101032,,,
848,Dominion Energy,AP@Dominion.com,101087,,,
849,Tractor Supply,AP@Tractor.com,101074,,,
850,Ross Stores,AP@Ross.com,100907,,,
851,Cheniere Energy,AP@Cheniere.com,100789,,,
852,Veritiv,AP@Veritiv.com,101110,,,
853,American Tower,AP@American.com,100955,,,
854,Guardian Life Ins. Co. of America,AP@Guardian.com,100828,,,
855,Verizon Communications,AP@Verizon.com,100836,,,
856,UnitedHealth Group,AP@UnitedHealth.com,100806,,,
857,Liberty Media,AP@Liberty.com,100861,,,
858,Ball,AP@Ball.com,101112,,,
859,D.R. Horton,AP@D.R..com,100744,,,
860,NGL Energy Partners,AP@NGL.com,100773,,,
861,Alcoa,AP@Alcoa.com,100849,,,
862,Allstate,AP@Allstate.com,100844,,,
863,International Paper,AP@International.com,100828,,,
864,Costco Wholesale,AP@Costco.com,100863,,,
865,Peter Kiewit Sons',AP@Peter.com,101132,,,
866,Chesapeake Energy,AP@Chesapeake.com,100696,,,
867,Phillips 66,AP@Phillips.com,100958,,,
868,NCR,AP@NCR.com,101035,,,
869,Dollar Tree,AP@Dollar.com,100710,,,
870,Rockwell Automation,AP@Rockwell.com,100712,,,
871,Eversource Energy,AP@Eversource.com,100868,,,
872,Jabil,AP@Jabil.com,101000,,,
873,New York Life Insurance,AP@New.com,100719,,,
874,Molson Coors Brewing,AP@Molson.com,101085,,,
875,ABM Industries,AP@ABM.com,101039,,,
876,Clorox,AP@Clorox.com,101127,,,
877,L3 Technologies,AP@L3.com,100881,,,
878,PPL,AP@PPL.com,100738,,,
879,Navistar International,AP@Navistar.com,101137,,,
880,AES,AP@AES.com,101081,,,
881,Office Depot,AP@Office.com,100767,,,
882,McDonald's,AP@McDonald's.com,100994,,,
883,Walgreens Boots Alliance,AP@Walgreens.com,100863,,,
884,CenterPoint Energy,AP@CenterPoint.com,100652,,,
885,Navient,AP@Navient.com,100721,,,
886,Nucor,AP@Nucor.com,100676,,,
887,Farmers Insurance Exchange,AP@Farmers.com,101043,,,
888,W.R. Berkley,AP@W.R..com,101097,,,
889,ConocoPhillips,AP@ConocoPhillips.com,101021,,,
890,Comcast,AP@Comcast.com,100868,,,
891,Honeywell International,AP@Honeywell.com,100872,,,
892,First American Financial,AP@First.com,101093,,,
893,Global Partners,AP@Global.com,100732,,,
894,Qurate Retail,AP@Qurate.com,100735,,,
895,Targa Resources,AP@Targa.com,101095,,,
896,McKesson,AP@McKesson.com,100821,,,
897,KeyCorp,AP@KeyCorp.com,101072,,,
898,National Oilwell Varco,AP@National.com,101017,,,
899,Levi Strauss,AP@Levi.com,100783,,,
900,eBay,AP@eBay.com,100839,,,
901,United Continental Holdings,AP@United.com,101127,,,
902,Mutual of Omaha Insurance,AP@Mutual.com,101147,,,
903,Penske Automotive Group,AP@Penske.com,100709,,,
904,United Natural Foods,AP@United.com,100766,,,
905,Liberty Mutual Insurance Group,AP@Liberty.com,101112,,,
906,Applied Materials,AP@Applied.com,101100,,,
907,Lincoln National,AP@Lincoln.com,100910,,,
908,Kellogg,AP@Kellogg.com,100711,,,
909,W.W. Grainger,AP@W.W..com,100964,,,
910,Sherwin-Williams,AP@Sherwin-Williams.com,100821,,,
911,Constellation Brands,AP@Constellation.com,101029,,,
912,INTL FCStone,AP@INTL.com,101001,,,
913,Abbott Laboratories,AP@Abbott.com,101034,,,
914,General Dynamics,AP@General.com,100694,,,
915,PREVIO,AP@PREVIO.com,100812,,,
916,J.M. Smucker,AP@J.M..com,100718,,,
917,Waste Management,AP@Waste.com,100703,,,
918,Icahn Enterprises,AP@Icahn.com,101122,,,
919,Analog Devices,AP@Analog.com,100765,,,
920,American Axle & Manufacturing,AP@American.com,100990,,,
921,Starbucks,AP@Starbucks.com,101131,,,
922,Cigna,AP@Cigna.com,100667,,,
923,Devon Energy,AP@Devon.com,101032,,,
924,Alliance Data Systems,AP@Alliance.com,100938,,,
925,AbbVie,AP@AbbVie.com,100725,,,
926,United Technologies,AP@United.com,101091,,,
927,Charter Communications,AP@Charter.com,100795,,,
928,Thrivent Financial for Lutherans,AP@Thrivent.com,100895,,,
929,Interpublic Group,AP@Interpublic.com,100654,,,
930,IQVIA Holdings,AP@IQVIA.com,101012,,,
931,BJ's Wholesale Club,AP@BJ's.com,101028,,,
932,Becton Dickinson,AP@Becton.com,100873,,,
933,GameStop,AP@GameStop.com,100681,,,
934,Arconic,AP@Arconic.com,100781,,,
935,Conagra Brands,AP@Conagra.com,100764,,,
936,Corning,AP@Corning.com,101007,,,
937,Zoetis,AP@Zoetis.com,100815,,,
938,Kinder Morgan,AP@Kinder.com,101034,,,
939,Booking Holdings,AP@Booking.com,100674,,,
940,Lowe's,AP@Lowe's.com,101113,,,
941,Celgene,AP@Celgene.com,100869,,,
942,SunTrust Banks,AP@SunTrust.com,101002,,,
943,Avery Dennison,AP@Avery.com,100994,,,
944,Expeditors Intl. of Washington,AP@Expeditors.com,100871,,,
945,O'Reilly Automotive,AP@O'Reilly.com,100723,,,
946,Ulta Beauty,AP@Ulta.com,100939,,,
947,Intel,AP@Intel.com,101032,,,
948,Molina Healthcare,AP@Molina.com,100754,,,
949,Polaris Industries,AP@Polaris.com,101023,,,
950,Brighthouse Financial,AP@Brighthouse.com,100933,,,
