Transaction,Transaction_Type,Status,department,EXPENSEACCOUNT,ITEM,QUANTITY,QUANTITYSHIPRECV,QUANTITYBILLED,RATE,rateamount ,netamount ,expectedshipdate ,expectedreceiptdate ,MEMO ,mainline,UNIQUEKEY ,kitmemberof,delete_random_number,,,
1237067,PurchOrd,,33,449,361,98,98,98,31,31,3038,2022-08-10,2022-08-15,,,242267,,7,,,
1237072,PurchOrd,,27,569,390,52,52,0,82,82,4264,2020-04-13,2020-04-18,,,242268,,94,,,
1237130,PurchOrd,,21,407,140,88,88,0,37,37,3256,2022-07-25,2022-07-30,,,242269,,94,,,
1237181,PurchOrd,,15,407,383,22,22,22,33,33,726,2022-04-24,2022-04-29,,,242270,,79,,,
1237227,PurchOrd,,35,875,745,24,24,24,73,73,1752,2022-03-17,2022-03-22,,,242271,,11,,,
1237231,PurchOrd,,32,875,118,30,30,30,79,79,2370,2021-10-01,2021-10-06,,,242272,,64,,,
1237234,PurchOrd,,37,587,268,74,74,74,82,82,6068,2020-07-17,2020-07-22,,,242273,,73,,,
1237271,PurchOrd,,15,588,279,14,14,14,100,100,1400,2020-05-04,2020-05-09,,,242274,,47,,,
1237283,PurchOrd,,15,875,305,100,100,100,97,97,9700,2020-12-11,2020-12-16,,,242275,,65,,,
1237286,PurchOrd,,12,685,298,44,44,44,65,65,2860,2020-10-13,2020-10-18,,,242276,,54,,,
1237298,PurchOrd,,33,875,633,40,40,40,45,45,1800,2022-02-01,2022-02-06,,,242277,,22,,,
1237300,PurchOrd,,19,587,623,97,97,97,45,45,4365,2021-12-22,2021-12-27,,,242278,,34,,,
1237305,PurchOrd,,19,449,504,36,36,36,37,37,1332,2022-03-12,2022-03-17,,,242279,,46,,,
1237332,PurchOrd,,29,407,761,28,28,28,99,99,2772,2021-07-13,2021-07-18,,,242280,,71,,,
1237356,PurchOrd,,21,685,426,36,36,36,94,94,3384,2022-10-19,2022-10-24,,,242281,,84,,,
1237378,PurchOrd,,32,588,402,6,6,6,65,65,390,2020-11-01,2020-11-06,,,242282,,61,,,
1237415,PurchOrd,,16,587,392,41,41,0,76,76,3116,2022-09-04,2022-09-09,,,242283,,93,,,
1237490,PurchOrd,,32,911,407,10,10,10,48,48,480,2022-09-21,2022-09-26,,,242284,,89,,,
1237549,PurchOrd,,19,117,661,8,8,8,6,6,48,2022-08-01,2022-08-06,,,242285,,68,,,
1237605,PurchOrd,,29,588,456,63,63,63,79,79,4977,2020-05-06,2020-05-11,,,242286,,71,,,
1237613,PurchOrd,,16,875,324,86,86,86,82,82,7052,2020-06-06,2020-06-11,,,242287,,75,,,
1237628,PurchOrd,,37,407,356,98,98,98,92,92,9016,2020-05-19,2020-05-24,,,242288,,8,,,
1237686,PurchOrd,,28,128,530,74,0,0,63,63,4662,2021-11-07,2021-11-12,,,242289,,96,,,
1237715,PurchOrd,,35,587,533,65,65,0,52,52,3380,2022-08-14,2022-08-19,,,242290,,93,,,
1237717,PurchOrd,,22,569,223,73,73,73,78,78,5694,2022-03-19,2022-03-24,,,242291,,75,,,
1237734,PurchOrd,,13,449,654,75,75,75,56,56,4200,2020-10-05,2020-10-10,,,242292,,52,,,
1237776,PurchOrd,,36,911,570,16,16,16,2,2,32,2021-06-04,2021-06-09,,,242293,,54,,,
1237814,PurchOrd,,21,117,791,63,63,63,17,17,1071,2020-02-06,2020-02-11,,,242294,,45,,,
1237854,PurchOrd,,30,587,170,16,16,16,99,99,1584,2021-02-28,2021-03-05,,,242295,,4,,,
1237895,PurchOrd,,14,449,490,52,52,0,1,1,52,2021-08-20,2021-08-25,,,242296,,92,,,
1237930,PurchOrd,,24,911,709,73,73,73,62,62,4526,2020-02-26,2020-03-02,,,242297,,60,,,
1237956,PurchOrd,,21,117,435,15,15,15,82,82,1230,2022-09-14,2022-09-19,,,242298,,82,,,
1238014,PurchOrd,,22,449,399,48,48,48,55,55,2640,2020-01-31,2020-02-05,,,242299,,22,,,
1238031,PurchOrd,,35,911,630,63,63,63,94,94,5922,2022-08-02,2022-08-07,,,242300,,24,,,
1238081,PurchOrd,,11,587,762,96,96,96,71,71,6816,2020-11-10,2020-11-15,,,242301,,67,,,
1238116,PurchOrd,,14,407,355,36,36,36,83,83,2988,2022-01-18,2022-01-23,,,242302,,70,,,
1238163,PurchOrd,,16,117,441,20,20,20,40,40,800,2021-08-14,2021-08-19,,,242303,,70,,,
1238196,PurchOrd,,14,117,182,18,18,18,54,54,972,2021-10-03,2021-10-08,,,242304,,34,,,
1238267,PurchOrd,,33,911,469,34,34,34,10,10,340,2022-08-18,2022-08-23,,,242305,,9,,,
1238288,PurchOrd,,29,117,779,60,60,60,82,82,4920,2021-01-09,2021-01-14,,,242306,,7,,,
1238294,PurchOrd,,14,685,409,89,89,0,58,58,5162,2022-08-25,2022-08-30,,,242307,,92,,,
1238367,PurchOrd,,31,407,676,96,96,96,32,32,3072,2021-10-30,2021-11-04,,,242308,,11,,,
1238391,PurchOrd,,11,875,423,16,16,16,15,15,240,2022-04-11,2022-04-16,,,242309,,68,,,
1238425,PurchOrd,,37,911,591,65,65,65,36,36,2340,2020-07-03,2020-07-08,,,242310,,21,,,
1238430,PurchOrd,,28,449,77,22,22,22,9,9,198,2021-04-09,2021-04-14,,,242311,,6,,,
1238477,PurchOrd,,35,588,112,49,49,49,95,95,4655,2020-11-29,2020-12-04,,,242312,,1,,,
1238577,PurchOrd,,20,875,368,32,32,32,83,83,2656,2021-06-11,2021-06-16,,,242313,,17,,,
1238591,PurchOrd,,36,569,361,35,35,35,31,31,1085,2021-11-30,2021-12-05,,,242314,,24,,,
1238595,PurchOrd,,17,407,367,1,1,1,37,37,37,2020-10-09,2020-10-14,,,242315,,61,,,
1238718,PurchOrd,,13,407,276,42,42,42,88,88,3696,2020-12-07,2020-12-12,,,242316,,5,,,
1238806,PurchOrd,,24,407,248,40,40,40,41,41,1640,2020-08-31,2020-09-05,,,242317,,88,,,
1238836,PurchOrd,,24,587,606,95,95,95,16,16,1520,2021-03-15,2021-03-20,,,242318,,72,,,
1238851,PurchOrd,,27,588,605,64,0,0,60,60,3840,2021-04-12,2021-04-17,,,242319,,98,,,
1238855,PurchOrd,,26,875,101,74,74,74,85,85,6290,2022-08-06,2022-08-11,,,242320,,9,,,
1238856,PurchOrd,,18,588,423,42,42,42,15,15,630,2020-05-17,2020-05-22,,,242321,,61,,,
1238897,PurchOrd,,14,117,99,55,55,55,10,10,550,2022-05-23,2022-05-28,,,242322,,50,,,
1238923,PurchOrd,,35,407,481,67,67,67,95,95,6365,2021-09-23,2021-09-28,,,242323,,70,,,
1238935,PurchOrd,,12,588,183,44,44,44,89,89,3916,2021-05-20,2021-05-25,,,242324,,83,,,
1238992,PurchOrd,,20,911,87,57,57,57,75,75,4275,2021-07-26,2021-07-31,,,242325,,6,,,
1239019,PurchOrd,,35,117,245,13,13,13,12,12,156,2022-03-26,2022-03-31,,,242326,,20,,,
1239027,PurchOrd,,19,407,697,45,45,45,44,44,1980,2022-06-15,2022-06-20,,,242327,,13,,,
1239030,PurchOrd,,36,587,315,90,90,90,54,54,4860,2021-05-30,2021-06-04,,,242328,,23,,,
1239050,PurchOrd,,27,117,446,58,58,58,85,85,4930,2021-11-10,2021-11-15,,,242329,,67,,,
1239080,PurchOrd,,17,875,769,83,83,83,63,63,5229,2021-04-28,2021-05-03,,,242330,,35,,,
1239108,PurchOrd,,35,588,258,25,25,25,32,32,800,2022-05-22,2022-05-27,,,242331,,18,,,
1239147,PurchOrd,,25,117,185,91,91,91,2,2,182,2022-06-07,2022-06-12,,,242332,,36,,,
1239243,PurchOrd,,14,588,496,15,15,15,100,100,1500,2020-02-19,2020-02-24,,,242333,,87,,,
1239267,PurchOrd,,35,685,78,64,64,64,38,38,2432,2020-05-19,2020-05-24,,,242334,,36,,,
1239290,PurchOrd,,26,449,112,13,13,13,95,95,1235,2020-11-21,2020-11-26,,,242335,,12,,,
1239375,PurchOrd,,37,449,480,23,23,23,42,42,966,2022-08-07,2022-08-12,,,242336,,33,,,
1239379,PurchOrd,,11,588,674,80,0,0,98,98,7840,2020-09-07,2020-09-12,,,242337,,97,,,
1239380,PurchOrd,,25,587,635,79,79,79,23,23,1817,2021-07-28,2021-08-02,,,242338,,30,,,
1239399,PurchOrd,,18,407,396,81,81,81,42,42,3402,2022-01-03,2022-01-08,,,242339,,23,,,
1239416,PurchOrd,,21,587,769,21,21,21,63,63,1323,2020-08-18,2020-08-23,,,242340,,81,,,
1239425,PurchOrd,,34,449,430,2,2,2,8,8,16,2020-09-26,2020-10-01,,,242341,,43,,,
1239508,PurchOrd,,27,588,663,68,68,68,52,52,3536,2022-03-31,2022-04-05,,,242342,,59,,,
1239554,PurchOrd,,28,875,397,65,65,65,10,10,650,2021-01-22,2021-01-27,,,242343,,16,,,
1239569,PurchOrd,,12,588,126,77,77,77,48,48,3696,2022-03-06,2022-03-11,,,242344,,29,,,
1239575,PurchOrd,,33,588,279,36,36,36,100,100,3600,2022-01-19,2022-01-24,,,242345,,10,,,
1239595,PurchOrd,,31,569,505,38,38,38,98,98,3724,2020-04-14,2020-04-19,,,242346,,4,,,
1239636,PurchOrd,,34,128,301,59,59,59,18,18,1062,2022-06-24,2022-06-29,,,242347,,40,,,
1239656,PurchOrd,,33,875,348,87,87,87,31,31,2697,2020-09-19,2020-09-24,,,242348,,82,,,
1239673,PurchOrd,,27,911,737,22,22,22,66,66,1452,2021-12-06,2021-12-11,,,242349,,11,,,
1239694,PurchOrd,,23,569,136,57,0,0,24,24,1368,2021-01-22,2021-01-27,,,242350,,97,,,
1239718,PurchOrd,,33,587,207,89,89,0,89,89,7921,2020-05-21,2020-05-26,,,242351,,94,,,
1239749,PurchOrd,,14,875,162,34,0,0,92,92,3128,2022-08-13,2022-08-18,,,242352,,99,,,
1239757,PurchOrd,,28,449,445,80,80,80,47,47,3760,2022-08-23,2022-08-28,,,242353,,39,,,
1239775,PurchOrd,,35,407,588,81,81,81,47,47,3807,2022-02-02,2022-02-07,,,242354,,83,,,
1239791,PurchOrd,,35,569,419,35,35,35,10,10,350,2020-11-30,2020-12-05,,,242355,,40,,,
1239823,PurchOrd,,37,911,539,83,83,83,79,79,6557,2020-07-26,2020-07-31,,,242356,,84,,,
1239842,PurchOrd,,17,587,47,32,32,32,94,94,3008,2021-02-26,2021-03-03,,,242357,,50,,,
1239847,PurchOrd,,32,587,503,52,52,52,90,90,4680,2022-05-08,2022-05-13,,,242358,,57,,,
1239850,PurchOrd,,37,117,611,45,45,45,5,5,225,2021-08-11,2021-08-16,,,242359,,42,,,
1239854,PurchOrd,,35,449,118,10,10,10,79,79,790,2022-03-08,2022-03-13,,,242360,,3,,,
1239927,PurchOrd,,13,128,509,24,24,24,17,17,408,2022-06-11,2022-06-16,,,242361,,11,,,
1239966,PurchOrd,,17,449,343,52,52,52,74,74,3848,2022-07-16,2022-07-21,,,242362,,87,,,
1239984,PurchOrd,,26,911,154,39,39,39,36,36,1404,2021-09-30,2021-10-05,,,242363,,76,,,
1240011,PurchOrd,,33,569,432,47,47,47,58,58,2726,2022-09-01,2022-09-06,,,242364,,84,,,
1240047,PurchOrd,,33,875,72,5,5,0,99,99,495,2020-08-15,2020-08-20,,,242365,,91,,,
1240052,PurchOrd,,24,685,502,16,16,16,76,76,1216,2020-08-28,2020-09-02,,,242366,,60,,,
1240077,PurchOrd,,15,587,369,60,60,60,29,29,1740,2020-03-31,2020-04-05,,,242367,,87,,,
1240085,PurchOrd,,20,569,354,64,64,64,42,42,2688,2022-08-06,2022-08-11,,,242368,,58,,,
1240100,PurchOrd,,33,588,451,98,0,0,26,26,2548,2022-11-03,2022-11-08,,,242369,,99,,,
1240111,PurchOrd,,36,875,216,57,57,57,30,30,1710,2022-06-28,2022-07-03,,,242370,,34,,,
1240120,PurchOrd,,21,569,739,58,58,0,31,31,1798,2020-10-15,2020-10-20,,,242371,,93,,,
1240181,PurchOrd,,22,588,534,1,1,1,93,93,93,2020-09-19,2020-09-24,,,242372,,73,,,
1240218,PurchOrd,,14,128,246,80,80,80,79,79,6320,2020-08-21,2020-08-26,,,242373,,86,,,
1240378,PurchOrd,,19,685,382,9,9,9,33,33,297,2020-04-27,2020-05-02,,,242374,,25,,,
1240392,PurchOrd,,31,407,467,51,51,51,40,40,2040,2020-06-10,2020-06-15,,,242375,,52,,,
1240411,PurchOrd,,19,569,349,9,9,9,89,89,801,2022-05-05,2022-05-10,,,242376,,18,,,
1240415,PurchOrd,,33,117,702,31,31,31,56,56,1736,2020-10-14,2020-10-19,,,242377,,43,,,
1240432,PurchOrd,,24,588,672,26,26,26,13,13,338,2021-12-01,2021-12-06,,,242378,,45,,,
1240470,PurchOrd,,23,128,400,36,36,36,100,100,3600,2022-01-14,2022-01-19,,,242379,,34,,,
1240471,PurchOrd,,19,128,485,32,32,32,64,64,2048,2020-05-15,2020-05-20,,,242380,,20,,,
1240516,PurchOrd,,21,875,456,2,2,2,79,79,158,2021-03-27,2021-04-01,,,242381,,14,,,
1240557,PurchOrd,,33,685,632,80,80,80,94,94,7520,2022-06-25,2022-06-30,,,242382,,67,,,
1240579,PurchOrd,,29,875,363,48,48,48,68,68,3264,2020-06-02,2020-06-07,,,242383,,63,,,
1240619,PurchOrd,,19,875,447,61,61,61,55,55,3355,2020-06-18,2020-06-23,,,242384,,62,,,
1240631,PurchOrd,,19,587,530,16,0,0,63,63,1008,2022-05-29,2022-06-03,,,242385,,96,,,
1240641,PurchOrd,,35,875,440,73,73,73,48,48,3504,2022-07-01,2022-07-06,,,242386,,51,,,
1240677,PurchOrd,,35,117,507,26,26,26,57,57,1482,2022-06-03,2022-06-08,,,242387,,19,,,
1240680,PurchOrd,,13,449,482,31,0,0,96,96,2976,2020-04-01,2020-04-06,,,242388,,96,,,
1240746,PurchOrd,,30,449,501,47,47,0,85,85,3995,2022-01-06,2022-01-11,,,242389,,91,,,
1240815,PurchOrd,,13,588,372,64,64,64,59,59,3776,2022-06-13,2022-06-18,,,242390,,34,,,
1240820,PurchOrd,,31,569,232,51,51,51,62,62,3162,2020-08-10,2020-08-15,,,242391,,29,,,
1240822,PurchOrd,,32,449,592,89,0,0,46,46,4094,2021-11-28,2021-12-03,,,242392,,100,,,
1240854,PurchOrd,,17,449,121,53,53,53,98,98,5194,2022-02-16,2022-02-21,,,242393,,78,,,
1240855,PurchOrd,,34,588,66,45,0,0,97,97,4365,2022-02-28,2022-03-05,,,242394,,98,,,
1240867,PurchOrd,,24,588,737,5,5,5,66,66,330,2021-10-25,2021-10-30,,,242395,,57,,,
1240872,PurchOrd,,31,587,43,48,48,48,64,64,3072,2021-12-08,2021-12-13,,,242396,,62,,,
1240874,PurchOrd,,28,407,264,100,100,100,61,61,6100,2020-03-01,2020-03-06,,,242397,,77,,,
1240879,PurchOrd,,24,449,217,62,62,62,47,47,2914,2022-08-10,2022-08-15,,,242398,,1,,,
1240954,PurchOrd,,16,407,74,85,85,85,90,90,7650,2022-06-22,2022-06-27,,,242399,,3,,,
1240981,PurchOrd,,11,875,663,25,25,25,52,52,1300,2020-11-07,2020-11-12,,,242400,,68,,,
1241012,PurchOrd,,13,685,186,32,32,32,61,61,1952,2021-01-07,2021-01-12,,,242401,,28,,,
1241023,PurchOrd,,18,588,685,30,0,0,99,99,2970,2022-06-02,2022-06-07,,,242402,,97,,,
1241044,PurchOrd,,15,128,607,52,52,52,66,66,3432,2020-08-04,2020-08-09,,,242403,,27,,,
1241082,PurchOrd,,30,407,331,79,0,0,23,23,1817,2022-09-21,2022-09-26,,,242404,,98,,,
1241187,PurchOrd,,15,875,574,35,35,0,37,37,1295,2022-09-04,2022-09-09,,,242405,,90,,,
1241210,PurchOrd,,12,569,559,29,29,29,45,45,1305,2022-06-27,2022-07-02,,,242406,,10,,,
1241231,PurchOrd,,19,875,762,98,98,98,71,71,6958,2022-08-01,2022-08-06,,,242407,,30,,,
1241451,PurchOrd,,14,449,550,60,60,60,47,47,2820,2022-11-05,2022-11-10,,,242408,,89,,,
1241532,PurchOrd,,27,128,209,72,72,72,32,32,2304,2021-01-13,2021-01-18,,,242409,,68,,,
1241536,PurchOrd,,19,569,66,42,42,42,97,97,4074,2020-02-16,2020-02-21,,,242410,,25,,,
1241552,PurchOrd,,32,569,75,69,69,69,2,2,138,2020-08-10,2020-08-15,,,242411,,45,,,
1241577,PurchOrd,,24,117,256,75,75,75,11,11,825,2021-04-27,2021-05-02,,,242412,,65,,,
1241595,PurchOrd,,23,587,204,71,0,0,56,56,3976,2020-08-11,2020-08-16,,,242413,,95,,,
1241625,PurchOrd,,25,128,437,68,68,68,67,67,4556,2021-09-03,2021-09-08,,,242414,,30,,,
1241694,PurchOrd,,18,407,789,98,0,0,70,70,6860,2022-09-25,2022-09-30,,,242415,,99,,,
1241751,PurchOrd,,28,407,205,1,0,0,16,16,16,2022-10-08,2022-10-13,,,242416,,98,,,
1241793,PurchOrd,,19,449,117,84,84,84,3,3,252,2022-02-19,2022-02-24,,,242417,,11,,,
1241804,PurchOrd,,18,128,479,92,92,92,69,69,6348,2020-07-26,2020-07-31,,,242418,,64,,,
1241809,PurchOrd,,21,875,290,64,64,64,55,55,3520,2022-04-07,2022-04-12,,,242419,,43,,,
1241885,PurchOrd,,33,449,280,85,85,85,32,32,2720,2020-05-23,2020-05-28,,,242420,,34,,,
1241905,PurchOrd,,35,587,389,29,29,29,99,99,2871,2020-07-09,2020-07-14,,,242421,,23,,,
1241932,PurchOrd,,20,128,116,14,0,0,4,4,56,2022-03-10,2022-03-15,,,242422,,95,,,
1241933,PurchOrd,,11,875,352,69,69,0,55,55,3795,2021-03-16,2021-03-21,,,242423,,93,,,
1241956,PurchOrd,,19,449,757,61,61,61,54,54,3294,2021-02-02,2021-02-07,,,242424,,1,,,
1241985,PurchOrd,,24,875,764,44,44,44,12,12,528,2021-06-05,2021-06-10,,,242425,,62,,,
1242017,PurchOrd,,16,407,768,71,71,71,60,60,4260,2020-12-02,2020-12-07,,,242426,,30,,,
1242028,PurchOrd,,18,569,199,17,17,17,76,76,1292,2020-09-23,2020-09-28,,,242427,,43,,,
1242035,PurchOrd,,20,875,500,23,23,23,76,76,1748,2020-07-12,2020-07-17,,,242428,,13,,,
1242102,PurchOrd,,34,587,87,98,98,98,75,75,7350,2021-03-08,2021-03-13,,,242429,,8,,,
1242144,PurchOrd,,27,128,361,56,56,56,31,31,1736,2021-05-04,2021-05-09,,,242430,,23,,,
1242150,PurchOrd,,27,449,29,42,42,42,74,74,3108,2020-08-06,2020-08-11,,,242431,,60,,,
1242186,PurchOrd,,11,407,358,54,0,0,91,91,4914,2021-10-03,2021-10-08,,,242432,,95,,,
1242274,PurchOrd,,17,911,364,5,5,5,30,30,150,2022-06-27,2022-07-02,,,242433,,28,,,
1242297,PurchOrd,,13,128,790,83,83,83,25,25,2075,2021-02-19,2021-02-24,,,242434,,74,,,
1242354,PurchOrd,,21,117,535,29,29,29,99,99,2871,2021-09-04,2021-09-09,,,242435,,19,,,
1242369,PurchOrd,,25,449,332,69,69,69,63,63,4347,2022-05-01,2022-05-06,,,242436,,8,,,
1242382,PurchOrd,,18,587,77,3,3,3,9,9,27,2020-09-07,2020-09-12,,,242437,,47,,,
1242388,PurchOrd,,15,128,589,46,46,0,35,35,1610,2022-08-28,2022-09-02,,,242438,,93,,,
1242423,PurchOrd,,29,128,541,51,51,51,15,15,765,2021-09-24,2021-09-29,,,242439,,21,,,
1242434,PurchOrd,,18,685,621,31,31,31,21,21,651,2021-10-09,2021-10-14,,,242440,,15,,,
1242565,PurchOrd,,30,875,687,56,56,56,10,10,560,2020-08-18,2020-08-23,,,242441,,64,,,
1242590,PurchOrd,,37,587,250,22,22,22,37,37,814,2021-10-30,2021-11-04,,,242442,,17,,,
1242641,PurchOrd,,36,117,209,46,46,46,32,32,1472,2022-01-05,2022-01-10,,,242443,,10,,,
1242644,PurchOrd,,25,569,779,8,8,8,82,82,656,2022-01-24,2022-01-29,,,242444,,77,,,
1242660,PurchOrd,,17,685,580,18,18,18,40,40,720,2020-07-03,2020-07-08,,,242445,,51,,,
1242718,PurchOrd,,28,685,525,14,14,14,99,99,1386,2020-02-18,2020-02-23,,,242446,,20,,,
1242719,PurchOrd,,25,449,285,54,54,54,78,78,4212,2021-05-01,2021-05-06,,,242447,,45,,,
1242748,PurchOrd,,25,588,377,22,22,22,78,78,1716,2022-07-14,2022-07-19,,,242448,,74,,,
1242772,PurchOrd,,32,128,44,33,33,33,4,4,132,2021-01-11,2021-01-16,,,242449,,45,,,
1242784,PurchOrd,,30,587,97,5,5,5,79,79,395,2022-06-30,2022-07-05,,,242450,,41,,,
1242843,PurchOrd,,27,117,720,14,14,14,77,77,1078,2020-05-20,2020-05-25,,,242451,,32,,,
1242859,PurchOrd,,16,449,32,44,44,44,70,70,3080,2021-11-14,2021-11-19,,,242452,,71,,,
1243011,PurchOrd,,28,449,454,19,19,19,85,85,1615,2020-08-26,2020-08-31,,,242453,,51,,,
1243078,PurchOrd,,20,117,95,19,19,19,54,54,1026,2021-05-09,2021-05-14,,,242454,,31,,,
1243111,PurchOrd,,21,569,498,59,59,59,61,61,3599,2020-01-27,2020-02-01,,,242455,,12,,,
1243142,PurchOrd,,21,911,221,28,28,28,75,75,2100,2021-12-20,2021-12-25,,,242456,,13,,,
1243143,PurchOrd,,32,117,400,37,37,37,100,100,3700,2021-08-02,2021-08-07,,,242457,,43,,,
1243160,PurchOrd,,29,569,266,65,65,65,11,11,715,2020-12-10,2020-12-15,,,242458,,20,,,
1243197,PurchOrd,,36,875,725,61,61,61,31,31,1891,2022-06-26,2022-07-01,,,242459,,10,,,
1243200,PurchOrd,,18,569,217,71,71,71,47,47,3337,2022-10-08,2022-10-13,,,242460,,88,,,
1243281,PurchOrd,,20,117,686,8,8,8,76,76,608,2021-04-13,2021-04-18,,,242461,,5,,,
1243328,PurchOrd,,25,685,312,69,69,69,1,1,69,2022-07-24,2022-07-29,,,242462,,88,,,
1243358,PurchOrd,,27,569,639,15,15,0,77,77,1155,2020-05-03,2020-05-08,,,242463,,93,,,
1243366,PurchOrd,,17,587,543,44,44,44,37,37,1628,2022-04-03,2022-04-08,,,242464,,7,,,
1243378,PurchOrd,,11,128,195,26,26,26,6,6,156,2022-02-07,2022-02-12,,,242465,,55,,,
1243390,PurchOrd,,15,911,388,47,47,47,38,38,1786,2020-12-18,2020-12-23,,,242466,,89,,,
1243391,PurchOrd,,21,569,132,31,31,31,44,44,1364,2020-07-14,2020-07-19,,,242467,,20,,,
1243396,PurchOrd,,17,685,533,52,52,52,52,52,2704,2022-04-13,2022-04-18,,,242468,,12,,,
1243413,PurchOrd,,35,449,69,15,15,15,79,79,1185,2022-07-16,2022-07-21,,,242469,,3,,,
1243423,PurchOrd,,32,587,386,75,75,75,31,31,2325,2021-03-23,2021-03-28,,,242470,,30,,,
1243506,PurchOrd,,30,128,137,45,45,45,22,22,990,2022-10-21,2022-10-26,,,242471,,84,,,
1243575,PurchOrd,,20,911,646,72,0,0,13,13,936,2020-09-01,2020-09-06,,,242472,,96,,,
1243626,PurchOrd,,19,407,131,65,65,65,62,62,4030,2022-06-07,2022-06-12,,,242473,,89,,,
1243638,PurchOrd,,35,407,324,86,86,86,82,82,7052,2020-09-12,2020-09-17,,,242474,,47,,,
1243648,PurchOrd,,18,587,172,8,8,8,73,73,584,2021-06-05,2021-06-10,,,242475,,26,,,
1243651,PurchOrd,,14,875,349,14,14,14,89,89,1246,2020-12-23,2020-12-28,,,242476,,84,,,
1243680,PurchOrd,,21,588,91,32,32,32,80,80,2560,2022-01-23,2022-01-28,,,242477,,53,,,
1243748,PurchOrd,,21,407,785,94,94,94,31,31,2914,2022-09-22,2022-09-27,,,242478,,88,,,
1243814,PurchOrd,,18,588,60,92,92,92,2,2,184,2021-05-10,2021-05-15,,,242479,,3,,,
1243817,PurchOrd,,37,128,507,28,0,0,57,57,1596,2022-04-20,2022-04-25,,,242480,,96,,,
1243818,PurchOrd,,29,569,630,85,85,85,94,94,7990,2020-10-21,2020-10-26,,,242481,,54,,,
1243824,PurchOrd,,19,407,767,81,81,81,90,90,7290,2020-05-15,2020-05-20,,,242482,,76,,,
1243839,PurchOrd,,12,875,431,51,0,0,66,66,3366,2022-08-14,2022-08-19,,,242483,,96,,,
1243840,PurchOrd,,29,588,248,95,95,95,41,41,3895,2022-02-09,2022-02-14,,,242484,,20,,,
1243854,PurchOrd,,15,449,605,90,90,90,60,60,5400,2022-01-31,2022-02-05,,,242485,,26,,,
1243855,PurchOrd,,16,685,370,37,37,37,2,2,74,2021-03-20,2021-03-25,,,242486,,1,,,
1243881,PurchOrd,,26,685,425,79,79,79,23,23,1817,2020-08-23,2020-08-28,,,242487,,78,,,
