Transaction,department,EXPENSEACCOUNT,ITEM,QUANTITY,QUANTITYSHIPRECV,QUANTITYBILLED,RATE,rateamount ,netamount ,expectedshipdate ,expectedreceiptdate ,MEMO ,mainline,UNIQUEKEY ,kitmemberof
1126497,19,568,27,62,62,62,3,3,186,,,,,242271,
1126500,20,305,20,3,3,3,28,28,84,,,,,242272,
1126504,35,300,30,81,0,0,21,21,1701,,,,,242273,
1126508,33,108,22,12,12,12,8,8,96,,,,,242274,
1126510,11,617,30,35,35,35,21,21,735,,,,,242275,
1126512,16,607,17,20,20,20,10,10,200,,,,,242276,
1126516,23,617,29,22,0,0,18,18,396,,,,,242277,
1126519,33,305,21,17,17,17,20,20,340,,,,,242278,
1126522,31,688,22,94,94,94,8,8,752,,,,,242279,
1126525,26,617,17,99,99,99,10,10,990,,,,,242280,
1126527,33,568,20,25,25,0,28,28,700,,,,,242281,
1126531,15,108,20,79,79,79,28,28,2212,,,,,242282,
1126535,27,688,15,99,99,99,56,56,5544,,,,,242283,
1126536,18,607,26,57,57,57,58,58,3306,,,,,242284,
1126541,22,108,22,75,75,75,8,8,600,,,,,242285,
1126545,21,688,21,21,21,21,20,20,420,,,,,242286,
1126549,32,543,20,25,25,0,28,28,700,,,,,242287,
1126553,21,855,27,90,90,90,3,3,270,,,,,242288,
1126554,33,607,28,49,49,49,12,12,588,,,,,242289,
1126555,37,305,26,94,0,0,58,58,5452,,,,,242290,
1126556,18,568,19,35,35,35,44,44,1540,,,,,242291,
1126561,32,108,17,3,3,3,10,10,30,,,,,242292,
1126563,33,305,25,41,41,41,78,78,3198,,,,,242293,
1126565,27,305,31,60,60,60,72,72,4320,,,,,242294,
1126566,12,543,26,19,19,19,58,58,1102,,,,,242295,
1126569,24,108,28,14,14,14,12,12,168,,,,,242296,
1126574,29,889,28,32,32,32,12,12,384,,,,,242297,
1126576,34,607,31,61,0,0,72,72,4392,,,,,242298,
1126579,30,543,28,46,46,46,12,12,552,,,,,242299,
1126583,36,617,29,47,47,47,18,18,846,,,,,242300,
1126587,13,688,18,81,81,81,100,100,8100,,,,,242301,
1126588,34,607,28,4,4,4,12,12,48,,,,,242302,
1126592,13,108,29,13,13,13,18,18,234,,,,,242303,
1126596,36,108,26,41,41,41,58,58,2378,,,,,242304,
1126601,33,568,22,43,43,43,8,8,344,,,,,242305,
1126605,27,607,16,49,49,49,40,40,1960,,,,,242306,
1126608,24,607,19,88,88,88,44,44,3872,,,,,242307,
1126611,37,607,29,78,78,78,18,18,1404,,,,,242308,
1126615,20,305,16,52,0,0,40,40,2080,,,,,242309,
1126618,16,300,20,46,46,46,28,28,1288,,,,,242310,
1126620,14,607,22,41,41,41,8,8,328,,,,,242311,
1126621,29,568,17,23,23,23,10,10,230,,,,,242312,
1126625,23,568,23,87,87,87,97,97,8439,,,,,242313,
1126630,11,688,31,95,95,95,72,72,6840,,,,,242314,
1126631,15,305,28,30,0,0,12,12,360,,,,,242315,
1126636,14,300,20,99,99,99,28,28,2772,,,,,242316,
1126638,14,543,24,37,37,37,71,71,2627,,,,,242317,
1126642,14,300,25,20,20,20,78,78,1560,,,,,242318,
1126647,23,617,21,78,78,78,20,20,1560,,,,,242319,
1126650,33,305,17,87,87,87,10,10,870,,,,,242320,
1126655,14,300,29,63,63,63,18,18,1134,,,,,242321,
1126657,34,889,18,57,57,57,100,100,5700,,,,,242322,
1126661,35,568,24,40,40,40,71,71,2840,,,,,242323,
1126662,35,568,26,23,23,23,58,58,1334,,,,,242324,
1126666,24,568,19,86,86,86,44,44,3784,,,,,242325,
1126667,26,568,28,40,40,40,12,12,480,,,,,242326,
1126670,22,688,14,68,68,68,57,57,3876,,,,,242327,
1126674,33,108,29,48,48,48,18,18,864,,,,,242328,
1126678,17,617,18,0,0,0,100,100,0,,,,,242329,
1126681,34,688,30,19,19,19,21,21,399,,,,,242330,
1126685,12,607,18,82,82,82,100,100,8200,,,,,242331,
1126686,19,568,15,65,65,65,56,56,3640,,,,,242332,
1126687,37,855,31,95,0,0,72,72,6840,,,,,242333,
1126688,23,300,30,69,0,0,21,21,1449,,,,,242334,
1126691,15,305,17,27,27,27,10,10,270,,,,,242335,
1126693,20,617,27,6,6,6,3,3,18,,,,,242336,
1126698,21,108,25,85,85,85,78,78,6630,,,,,242337,
1126703,11,305,27,51,51,51,3,3,153,,,,,242338,
1126704,33,108,29,37,37,37,18,18,666,,,,,242339,
1126706,21,855,31,33,33,33,72,72,2376,,,,,242340,
1126708,16,108,21,32,32,32,20,20,640,,,,,242341,
1126710,13,688,15,36,36,36,56,56,2016,,,,,242342,
1126712,15,108,20,13,13,13,28,28,364,,,,,242343,
1126715,35,617,19,39,39,39,44,44,1716,,,,,242344,
1126719,15,855,31,12,12,12,72,72,864,,,,,242345,
1126723,26,305,27,0,0,0,3,3,0,,,,,242346,
1126724,24,688,25,1,1,1,78,78,78,,,,,242347,
1126727,30,688,19,57,57,57,44,44,2508,,,,,242348,
1126728,29,889,15,84,84,84,56,56,4704,,,,,242349,
1126729,11,305,29,37,37,37,18,18,666,,,,,242350,
1126734,17,305,19,26,26,26,44,44,1144,,,,,242351,
1126735,26,305,21,75,75,75,20,20,1500,,,,,242352,
1126737,25,568,14,5,5,5,57,57,285,,,,,242353,
1126740,36,300,27,62,62,0,3,3,186,,,,,242354,
1126741,17,617,29,73,73,73,18,18,1314,,,,,242355,
1126745,24,300,30,45,45,45,21,21,945,,,,,242356,
1126750,25,568,14,36,36,36,57,57,2052,,,,,242357,
1126751,24,108,15,45,45,45,56,56,2520,,,,,242358,
1126753,37,108,20,31,31,31,28,28,868,,,,,242359,
1126758,26,568,27,43,43,43,3,3,129,,,,,242360,
1126763,27,300,14,37,37,37,57,57,2109,,,,,242361,
1126764,12,607,26,82,82,82,58,58,4756,,,,,242362,
1126767,16,568,30,75,75,75,21,21,1575,,,,,242363,
1126769,19,568,31,59,0,0,72,72,4248,,,,,242364,
1126773,20,607,28,96,96,96,12,12,1152,,,,,242365,
1126778,25,300,23,0,0,0,97,97,0,,,,,242366,
1126781,27,300,29,54,54,54,18,18,972,,,,,242367,
1126782,23,855,14,24,24,24,57,57,1368,,,,,242368,
1126786,25,688,22,62,0,0,8,8,496,,,,,242369,
1126791,33,617,25,27,27,27,78,78,2106,,,,,242370,
1126794,26,607,27,1,1,1,3,3,3,,,,,242371,
1126795,19,568,17,84,84,84,10,10,840,,,,,242372,
1126796,33,108,18,14,14,14,100,100,1400,,,,,242373,
1126799,20,688,17,93,93,93,10,10,930,,,,,242374,
1126802,31,688,31,72,72,72,72,72,5184,,,,,242375,
1126806,33,108,19,37,37,37,44,44,1628,,,,,242376,
1126810,29,688,23,67,67,67,97,97,6499,,,,,242377,
1126814,17,617,25,53,0,0,78,78,4134,,,,,242378,
1126819,19,607,24,19,19,19,71,71,1349,,,,,242379,
1126820,37,688,20,20,20,20,28,28,560,,,,,242380,
1126825,29,543,18,47,47,47,100,100,4700,,,,,242381,
1126830,28,607,22,86,86,86,8,8,688,,,,,242382,
1126832,21,305,17,23,23,23,10,10,230,,,,,242383,
1126834,24,543,23,24,24,24,97,97,2328,,,,,242384,
1126836,23,607,28,24,24,24,12,12,288,,,,,242385,
1126838,30,607,23,75,75,75,97,97,7275,,,,,242386,
1126843,13,889,27,80,80,80,3,3,240,,,,,242387,
1126845,31,607,28,95,95,95,12,12,1140,,,,,242388,
1126846,11,607,18,73,73,73,100,100,7300,,,,,242389,
1126848,19,108,14,4,4,4,57,57,228,,,,,242390,
1126852,24,855,24,64,64,64,71,71,4544,,,,,242391,
1126856,22,617,17,12,12,12,10,10,120,,,,,242392,
1126859,25,568,27,83,83,0,3,3,249,,,,,242393,
1126861,35,108,22,79,79,79,8,8,632,,,,,242394,
1126865,37,305,19,38,38,38,44,44,1672,,,,,242395,
1126870,15,305,18,65,65,65,100,100,6500,,,,,242396,
1126871,33,855,16,69,69,69,40,40,2760,,,,,242397,
1126876,24,617,18,77,77,77,100,100,7700,,,,,242398,
1126878,20,607,28,22,22,22,12,12,264,,,,,242399,
1126879,18,305,29,59,59,0,18,18,1062,,,,,242400,
1126883,13,889,21,27,27,27,20,20,540,,,,,242401,
1126888,21,617,27,57,57,57,3,3,171,,,,,242402,
1126889,14,108,30,79,79,79,21,21,1659,,,,,242403,
1126894,14,889,31,74,74,74,72,72,5328,,,,,242404,
1126897,33,300,16,5,5,5,40,40,200,,,,,242405,
1126900,16,568,31,87,87,87,72,72,6264,,,,,242406,
1126901,36,607,29,42,42,42,18,18,756,,,,,242407,
1126904,32,300,21,63,63,63,20,20,1260,,,,,242408,
1126906,16,617,28,56,56,56,12,12,672,,,,,242409,
1126907,22,688,28,47,47,47,12,12,564,,,,,242410,
1126911,12,617,16,90,90,90,40,40,3600,,,,,242411,
1126915,14,108,14,0,0,0,57,57,0,,,,,242412,
1126918,24,305,14,59,59,59,57,57,3363,,,,,242413,
1126923,28,889,26,2,2,2,58,58,116,,,,,242414,
1126926,34,108,16,16,16,16,40,40,640,,,,,242415,
1126930,36,889,29,99,99,99,18,18,1782,,,,,242416,
1126932,37,300,16,52,52,52,40,40,2080,,,,,242417,
1126934,19,688,18,54,54,54,100,100,5400,,,,,242418,
1126939,31,688,28,76,76,76,12,12,912,,,,,242419,
1126942,37,108,17,99,99,99,10,10,990,,,,,242420,
1126946,24,688,27,62,62,62,3,3,186,,,,,242421,
1126950,23,889,19,37,0,0,44,44,1628,,,,,242422,
1126955,25,108,20,15,15,15,28,28,420,,,,,242423,
1126956,17,688,27,88,88,88,3,3,264,,,,,242424,
1126960,13,889,24,28,28,0,71,71,1988,,,,,242425,
1126962,14,617,18,58,58,58,100,100,5800,,,,,242426,
1126966,35,855,17,81,81,81,10,10,810,,,,,242427,
1126970,15,108,18,10,10,10,100,100,1000,,,,,242428,
1126975,24,300,21,62,62,62,20,20,1240,,,,,242429,
1126977,33,607,29,75,75,75,18,18,1350,,,,,242430,
1126980,28,300,24,71,71,71,71,71,5041,,,,,242431,
1126981,26,855,17,1,1,1,10,10,10,,,,,242432,
1126984,18,607,26,57,57,57,58,58,3306,,,,,242433,
1126988,12,568,22,12,0,0,8,8,96,,,,,242434,
1126989,36,617,23,83,83,83,97,97,8051,,,,,242435,
1126990,25,568,14,91,91,91,57,57,5187,,,,,242436,
1126991,11,617,30,63,63,63,21,21,1323,,,,,242437,
1126994,31,300,19,15,15,15,44,44,660,,,,,242438,
1126999,37,688,18,60,60,60,100,100,6000,,,,,242439,
1127001,17,305,21,54,54,54,20,20,1080,,,,,242440,
1127006,16,543,28,15,15,15,12,12,180,,,,,242441,
1127010,30,688,19,50,50,50,44,44,2200,,,,,242442,
1127014,20,568,21,81,81,81,20,20,1620,,,,,242443,
1127019,22,543,22,87,87,87,8,8,696,,,,,242444,
1127022,16,543,14,50,50,50,57,57,2850,,,,,242445,
1127023,11,543,25,0,0,0,78,78,0,,,,,242446,
1127025,22,889,28,57,57,57,12,12,684,,,,,242447,
1127027,22,300,30,62,62,62,21,21,1302,,,,,242448,
1127032,33,543,20,76,76,76,28,28,2128,,,,,242449,
1127034,34,855,16,22,22,22,40,40,880,,,,,242450,
1127035,16,300,27,91,91,91,3,3,273,,,,,242451,
1127038,19,855,17,3,3,3,10,10,30,,,,,242452,
1127043,18,300,19,39,39,39,44,44,1716,,,,,242453,
1127045,16,305,14,6,6,6,57,57,342,,,,,242454,
1127047,34,305,30,55,55,55,21,21,1155,,,,,242455,
1127052,18,889,20,98,98,98,28,28,2744,,,,,242456,
1127056,33,543,21,45,45,45,20,20,900,,,,,242457,
1127061,35,568,26,51,51,51,58,58,2958,,,,,242458,
1127063,16,688,25,64,0,0,78,78,4992,,,,,242459,
1127066,35,300,25,75,75,75,78,78,5850,,,,,242460,
1127069,16,688,17,89,89,89,10,10,890,,,,,242461,
1127072,16,617,31,88,88,88,72,72,6336,,,,,242462,
1127074,26,300,16,96,96,96,40,40,3840,,,,,242463,
1127078,31,617,14,12,12,12,57,57,684,,,,,242464,
1127080,15,305,18,68,68,68,100,100,6800,,,,,242465,
1127082,18,889,15,13,13,13,56,56,728,,,,,242466,
1127084,29,300,21,14,14,14,20,20,280,,,,,242467,
1127086,32,300,17,45,45,45,10,10,450,,,,,242468,
1127090,19,300,15,49,49,49,56,56,2744,,,,,242469,
1127094,35,108,28,37,37,37,12,12,444,,,,,242470,
1127095,35,617,16,54,54,54,40,40,2160,,,,,242471,
1127096,16,108,16,27,27,27,40,40,1080,,,,,242472,
1127100,26,305,19,68,68,0,44,44,2992,,,,,242473,
1127103,26,568,26,43,43,43,58,58,2494,,,,,242474,
1127104,28,305,15,54,54,54,56,56,3024,,,,,242475,
1127105,20,108,25,6,6,6,78,78,468,,,,,242476,
1127110,13,305,28,67,67,67,12,12,804,,,,,242477,
1127114,24,855,18,70,70,70,100,100,7000,,,,,242478,
1127116,23,305,29,22,22,22,18,18,396,,,,,242479,
1127120,17,543,22,68,68,68,8,8,544,,,,,242480,
1127124,28,568,25,49,49,49,78,78,3822,,,,,242481,
1127129,37,543,24,83,83,83,71,71,5893,,,,,242482,
1127132,32,688,31,18,18,18,72,72,1296,,,,,242483,
1127136,31,305,15,60,60,60,56,56,3360,,,,,242484,
1127141,28,617,19,99,99,99,44,44,4356,,,,,242485,
1127146,37,305,14,79,79,79,57,57,4503,,,,,242486,
1127147,20,543,31,94,94,94,72,72,6768,,,,,242487,
1127149,17,305,16,85,85,0,40,40,3400,,,,,242488,
1127152,30,855,30,99,99,99,21,21,2079,,,,,242489,
1127157,11,305,26,67,67,0,58,58,3886,,,,,242490,
1127160,13,607,29,32,32,32,18,18,576,,,,,242491,
1127164,20,889,22,58,58,58,8,8,464,,,,,242492,
1127166,18,300,31,19,0,0,72,72,1368,,,,,242493,
1127169,12,305,22,83,83,83,8,8,664,,,,,242494,
1127172,26,855,27,63,63,63,3,3,189,,,,,242495,
1127175,17,617,19,14,14,14,44,44,616,,,,,242496,
1127180,33,855,26,18,18,18,58,58,1044,,,,,242497,
1127181,25,855,28,59,59,59,12,12,708,,,,,242498,
1127182,20,305,25,98,98,98,78,78,7644,,,,,242499,
1127186,21,607,27,69,69,69,3,3,207,,,,,242500,
1127191,32,300,24,2,2,2,71,71,142,,,,,242501,
1127192,21,305,26,48,48,48,58,58,2784,,,,,242502,
1127196,26,607,21,29,29,29,20,20,580,,,,,242503,
1127201,21,300,14,47,47,47,57,57,2679,,,,,242504,
1127202,26,607,15,17,17,17,56,56,952,,,,,242505,
1127203,20,300,24,87,87,87,71,71,6177,,,,,242506,
1127208,20,889,29,10,10,10,18,18,180,,,,,242507,
1127210,33,889,15,88,88,88,56,56,4928,,,,,242508,
1127213,31,688,19,68,68,68,44,44,2992,,,,,242509,
1127214,16,889,18,59,59,59,100,100,5900,,,,,242510,
1127217,29,607,17,93,93,93,10,10,930,,,,,242511,
1127219,34,889,16,25,25,25,40,40,1000,,,,,242512,
1127220,24,688,30,78,78,78,21,21,1638,,,,,242513,
1127223,35,617,16,73,73,73,40,40,2920,,,,,242514,
1127227,25,855,25,89,89,89,78,78,6942,,,,,242515,
1127229,30,568,26,76,76,76,58,58,4408,,,,,242516,
1127232,12,855,25,69,69,69,78,78,5382,,,,,242517,
1127236,34,568,31,70,70,70,72,72,5040,,,,,242518,
1127237,35,855,20,26,26,26,28,28,728,,,,,242519,
1127239,18,855,19,72,72,72,44,44,3168,,,,,242520,
1127240,35,300,22,53,53,53,8,8,424,,,,,242521,
1127243,17,543,29,26,26,26,18,18,468,,,,,242522,
1127248,15,617,23,8,8,0,97,97,776,,,,,242523,
1127253,27,688,25,6,6,6,78,78,468,,,,,242524,
1127257,21,543,22,26,26,26,8,8,208,,,,,242525,
1127261,35,300,28,71,71,71,12,12,852,,,,,242526,
1127265,12,889,31,96,0,0,72,72,6912,,,,,242527,
1127267,22,617,25,55,55,55,78,78,4290,,,,,242528,
1127268,33,617,23,73,73,73,97,97,7081,,,,,242529,
1127269,11,855,24,53,53,53,71,71,3763,,,,,242530,
1127272,31,617,21,54,54,54,20,20,1080,,,,,242531,
1127273,23,889,28,100,0,0,12,12,1200,,,,,242532,
1127278,11,607,20,82,82,82,28,28,2296,,,,,242533,
1127283,27,300,21,39,39,39,20,20,780,,,,,242534,
1127284,36,543,16,42,42,0,40,40,1680,,,,,242535,
1127287,17,568,27,87,0,0,3,3,261,,,,,242536,
1127291,22,305,30,31,0,0,21,21,651,,,,,242537,
1127293,34,305,23,46,46,46,97,97,4462,,,,,242538,
1127297,20,305,26,30,30,30,58,58,1740,,,,,242539,
1127302,12,300,26,5,5,5,58,58,290,,,,,242540,
1127303,17,543,15,39,39,39,56,56,2184,,,,,242541,
1127305,21,300,18,24,24,24,100,100,2400,,,,,242542,
1127308,16,300,15,39,39,39,56,56,2184,,,,,242543,
1127309,19,855,18,86,86,86,100,100,8600,,,,,242544,
1127312,23,617,31,47,47,47,72,72,3384,,,,,242545,
1127315,26,688,18,85,85,85,100,100,8500,,,,,242546,
1127316,12,607,28,20,20,20,12,12,240,,,,,242547,
1127317,24,607,23,96,96,96,97,97,9312,,,,,242548,
1127320,12,607,24,37,37,37,71,71,2627,,,,,242549,
1127321,30,688,14,75,75,75,57,57,4275,,,,,242550,
1127322,26,568,15,25,25,0,56,56,1400,,,,,242551,
1127326,18,889,23,55,55,55,97,97,5335,,,,,242552,
1127330,13,305,24,46,46,46,71,71,3266,,,,,242553,
1127333,33,889,18,86,86,86,100,100,8600,,,,,242554,
1127338,28,300,14,100,100,100,57,57,5700,,,,,242555,
1127339,15,688,26,10,10,10,58,58,580,,,,,242556,
1127343,32,108,22,52,52,52,8,8,416,,,,,242557,
1127345,35,855,28,5,5,5,12,12,60,,,,,242558,
1127348,14,688,18,8,0,0,100,100,800,,,,,242559,
1127351,21,568,29,54,54,54,18,18,972,,,,,242560,
1127356,25,108,28,81,81,81,12,12,972,,,,,242561,
1127360,21,855,27,16,16,16,3,3,48,,,,,242562,
1127365,12,607,28,71,71,71,12,12,852,,,,,242563,
1127370,17,617,26,73,73,73,58,58,4234,,,,,242564,
1127372,31,889,21,74,74,74,20,20,1480,,,,,242565,
1127376,24,568,24,91,91,91,71,71,6461,,,,,242566,
1127378,24,617,16,16,16,16,40,40,640,,,,,242567,
1127381,13,617,15,42,42,42,56,56,2352,,,,,242568,
1127385,34,688,14,78,78,78,57,57,4446,,,,,242569,
1127387,25,568,19,45,45,45,44,44,1980,,,,,242570,
1127389,19,305,31,70,70,0,72,72,5040,,,,,242571,
1127390,13,855,31,56,56,0,72,72,4032,,,,,242572,
1127394,25,305,15,54,54,54,56,56,3024,,,,,242573,
1127398,24,688,22,1,1,1,8,8,8,,,,,242574,
1127400,31,568,20,23,23,23,28,28,644,,,,,242575,
1127405,16,543,27,39,39,39,3,3,117,,,,,242576,
1127407,27,889,14,18,18,18,57,57,1026,,,,,242577,
1127412,35,855,18,43,43,43,100,100,4300,,,,,242578,
1127414,14,855,28,10,10,10,12,12,120,,,,,242579,
1127416,22,108,21,31,31,31,20,20,620,,,,,242580,
1127417,33,300,19,59,59,59,44,44,2596,,,,,242581,
1127422,33,889,29,0,0,0,18,18,0,,,,,242582,
1127424,21,617,16,39,39,39,40,40,1560,,,,,242583,
1127429,26,300,29,57,57,0,18,18,1026,,,,,242584,
1127432,37,688,18,96,96,96,100,100,9600,,,,,242585,
1127436,31,108,25,57,57,57,78,78,4446,,,,,242586,
1127437,14,300,25,59,59,59,78,78,4602,,,,,242587,
1127442,26,543,16,93,93,93,40,40,3720,,,,,242588,
1127444,18,617,14,71,71,71,57,57,4047,,,,,242589,
1127448,14,108,30,49,49,49,21,21,1029,,,,,242590,
1127449,33,568,18,3,3,3,100,100,300,,,,,242591,
1127453,22,543,23,35,35,35,97,97,3395,,,,,242592,
1127458,33,300,23,68,68,68,97,97,6596,,,,,242593,
1127462,34,305,18,77,77,77,100,100,7700,,,,,242594,
1127467,13,607,31,62,62,62,72,72,4464,,,,,242595,
1127468,20,617,31,18,18,18,72,72,1296,,,,,242596,
1127470,25,108,23,52,52,52,97,97,5044,,,,,242597,
1127474,21,617,30,48,48,48,21,21,1008,,,,,242598,
1127475,17,300,23,51,51,51,97,97,4947,,,,,242599,
1127477,23,300,31,18,18,18,72,72,1296,,,,,242600,
1127482,23,300,27,16,16,16,3,3,48,,,,,242601,
1127483,26,855,18,84,84,84,100,100,8400,,,,,242602,
1127485,17,855,25,24,24,24,78,78,1872,,,,,242603,
1127489,25,108,17,93,93,93,10,10,930,,,,,242604,
1127490,26,688,19,87,87,87,44,44,3828,,,,,242605,
1127491,11,607,21,95,95,95,20,20,1900,,,,,242606,
1127492,14,568,24,65,65,65,71,71,4615,,,,,242607,
1127496,27,688,27,25,25,25,3,3,75,,,,,242608,
1127501,22,855,27,43,43,43,3,3,129,,,,,242609,
1127505,19,543,24,19,19,19,71,71,1349,,,,,242610,
1127507,23,617,28,87,87,87,12,12,1044,,,,,242611,
1127511,29,543,18,66,66,66,100,100,6600,,,,,242612,
1127514,18,305,17,87,87,87,10,10,870,,,,,242613,
1127517,29,108,25,62,62,62,78,78,4836,,,,,242614,
1127521,35,855,28,74,0,0,12,12,888,,,,,242615,
1127525,22,305,27,38,38,38,3,3,114,,,,,242616,
1127530,29,568,26,61,61,61,58,58,3538,,,,,242617,
1127533,25,108,29,56,56,56,18,18,1008,,,,,242618,
1127534,36,688,23,46,46,46,97,97,4462,,,,,242619,
1127535,28,855,18,2,2,2,100,100,200,,,,,242620,
1127539,28,688,15,41,41,41,56,56,2296,,,,,242621,
1127544,13,300,21,42,42,42,20,20,840,,,,,242622,
1127548,19,543,26,86,86,86,58,58,4988,,,,,242623,
1127549,35,889,27,9,9,9,3,3,27,,,,,242624,
1127550,33,108,28,93,93,93,12,12,1116,,,,,242625,
1127551,37,305,16,4,4,4,40,40,160,,,,,242626,
1127553,23,108,27,53,53,53,3,3,159,,,,,242627,
1127557,12,889,27,61,61,61,3,3,183,,,,,242628,
1127558,16,617,25,22,22,22,78,78,1716,,,,,242629,
1127559,17,855,24,10,10,10,71,71,710,,,,,242630,
1127562,32,300,21,97,97,97,20,20,1940,,,,,242631,
1127565,32,568,25,56,56,56,78,78,4368,,,,,242632,
1127570,31,889,23,90,90,90,97,97,8730,,,,,242633,
1127571,24,688,24,4,4,4,71,71,284,,,,,242634,
1127576,34,607,23,56,56,0,97,97,5432,,,,,242635,
1127577,36,300,27,29,29,29,3,3,87,,,,,242636,
1127580,36,889,25,20,0,0,78,78,1560,,,,,242637,
1127581,12,543,19,67,67,67,44,44,2948,,,,,242638,
1127584,32,855,29,82,82,82,18,18,1476,,,,,242639,
1127588,20,108,27,37,37,37,3,3,111,,,,,242640,
1127591,35,889,29,1,1,1,18,18,18,,,,,242641,
1127594,14,855,26,14,14,14,58,58,812,,,,,242642,
1127598,24,607,25,29,29,29,78,78,2262,,,,,242643,
1127601,31,305,25,76,76,76,78,78,5928,,,,,242644,
1127606,29,108,23,3,3,3,97,97,291,,,,,242645,
1127610,17,108,25,27,27,27,78,78,2106,,,,,242646,
1127614,21,108,21,79,79,79,20,20,1580,,,,,242647,
1127617,27,889,19,12,12,0,44,44,528,,,,,242648,
1127621,25,305,20,16,16,16,28,28,448,,,,,242649,
1127624,31,300,14,66,66,66,57,57,3762,,,,,242650,
1127626,36,607,26,9,9,0,58,58,522,,,,,242651,
1127631,13,300,18,83,0,0,100,100,8300,,,,,242652,
1127633,15,108,19,81,81,81,44,44,3564,,,,,242653,
1127636,24,305,31,100,100,100,72,72,7200,,,,,242654,
1127637,26,300,17,40,40,0,10,10,400,,,,,242655,
1127642,33,855,28,6,6,6,12,12,72,,,,,242656,
1127645,37,300,28,44,44,44,12,12,528,,,,,242657,
1127650,19,108,28,82,82,82,12,12,984,,,,,242658,
1127651,14,607,19,11,11,11,44,44,484,,,,,242659,
1127653,36,305,26,87,87,87,58,58,5046,,,,,242660,
1127657,24,688,25,97,97,97,78,78,7566,,,,,242661,
1127662,20,568,25,40,40,40,78,78,3120,,,,,242662,
1127663,20,568,26,79,79,79,58,58,4582,,,,,242663,
1127668,13,855,31,58,58,58,72,72,4176,,,,,242664,
1127670,36,108,27,64,64,64,3,3,192,,,,,242665,
1127675,34,889,29,74,74,74,18,18,1332,,,,,242666,
1127679,20,607,20,26,26,26,28,28,728,,,,,242667,
1127680,15,305,18,88,88,88,100,100,8800,,,,,242668,
1127682,18,889,23,16,16,16,97,97,1552,,,,,242669,
1127685,25,108,26,77,77,77,58,58,4466,,,,,242670,
1127686,17,305,30,62,0,0,21,21,1302,,,,,242671,
1127691,26,607,20,34,34,34,28,28,952,,,,,242672,
1127694,27,889,23,21,21,21,97,97,2037,,,,,242673,
1127695,30,568,26,55,55,55,58,58,3190,,,,,242674,
1127700,24,855,31,63,63,63,72,72,4536,,,,,242675,
1127702,15,108,21,75,75,75,20,20,1500,,,,,242676,
1127703,23,305,16,57,57,57,40,40,2280,,,,,242677,
1127705,35,543,30,100,100,100,21,21,2100,,,,,242678,
1127707,14,108,22,84,84,84,8,8,672,,,,,242679,
1127712,23,568,16,75,75,75,40,40,3000,,,,,242680,
1127716,11,889,23,13,0,0,97,97,1261,,,,,242681,
1127717,29,607,18,20,20,20,100,100,2000,,,,,242682,
1127721,14,108,27,46,46,46,3,3,138,,,,,242683,
1127725,22,568,14,23,23,23,57,57,1311,,,,,242684,
1127727,29,617,26,65,65,65,58,58,3770,,,,,242685,
1127729,28,568,17,82,82,0,10,10,820,,,,,242686,
1127733,26,889,14,61,61,61,57,57,3477,,,,,242687,
1127738,21,108,17,67,67,67,10,10,670,,,,,242688,
1127742,30,688,19,95,95,95,44,44,4180,,,,,242689,
1127744,17,855,31,1,1,1,72,72,72,,,,,242690,
