id,street,City,State,Zip
100874,676 Sussex St.,Elk River,MN,55330
100875,35 Queen Road,New Albany,IN,47150
100876,771 Yukon St.,Dothan,AL,36301
100877,948 Dunbar Dr.,Rochester,NY,14606
100878,28 Jones Lane,Newport News,VA,23601
100879,144 New Saddle Street,Highland Park,IL,60035
100880,70 Elizabeth St.,Portland,ME,4103
100881,135 Manhattan Court,Garfield,NJ,7026
100882,462 Marsh St.,Delaware,OH,43015
100883,9008 County St.,Olney,MD,20832
100884,9667 Elm Street,Louisville,KY,40207
100885,7789 Bay St.,Cottage Grove,MN,55016
100886,8993 Shub Farm Avenue,Rego Park,NY,11374
100887,6 Cottage St.,Loganville,GA,30052
100888,98 Fulton Road,Bethel Park,PA,15102
100889,19 Grant Lane,Jonesboro,GA,30236
100890,2 Bishop Street,Emporia,KS,66801
100891,9704 South St.,Norfolk,VA,23503
100892,70 N. Shirley Road,Bowling Green,KY,42101
100893,972 Windsor St.,Hopkinsville,KY,42240
100894,511 Fifth Road,Clayton,NC,27520
100895,212 North Harrison St.,Patchogue,NY,11772
100896,9538 Sulphur Springs Road,Elizabethtown,PA,17022
100897,22 Harvard St.,Oak Ridge,TN,37830
100898,823 Church Drive,Millville,NJ,8332
100899,7216 Kent St.,Lutherville Timonium,MD,21093
100900,7438 Ohio Road,West Chester,PA,19380
100901,45 North Hickory Drive,Hollis,NY,11423
100902,624 New St.,Westminster,MD,21157
100903,197 High St.,Antioch,TN,37013
100904,7 Hickory St.,Severn,MD,21144
100905,9715 Henry Smith St.,Elgin,IL,60120
100906,844 Applegate Dr.,Glen Burnie,MD,21060
100907,959 Applegate Lane,South Ozone Park,NY,11420
100908,130 Westport Drive,New Haven,CT,6511
100909,66 Gartner St.,Jamaica Plain,MA,2130
100910,9717 High Noon Drive,Sicklerville,NJ,8081
100911,117 Gates Avenue,Carol Stream,IL,60188
100912,339 San Carlos Rd.,Altoona,PA,16601
100913,8034 Addison Court,Sevierville,TN,37876
100914,982 Main St.,Cranberry Twp,PA,16066
100915,29 Summerhouse Court,Stow,OH,44224
100916,39 Pendergast Rd.,Cranford,NJ,7016
100917,78 NE. Lake Forest St.,Holyoke,MA,1040
100918,315 Foster St.,Nottingham,MD,21236
100919,755 Carson Lane,Yuma,AZ,85365
100920,7442 S. Shub Farm Drive,Ozone Park,NY,11417
100921,689 South Elizabeth Rd.,Ft Mitchell,KY,41017
100922,323 Henry Street,Belleville,NJ,7109
100923,279 School Street,Lititz,PA,17543
100924,73 Crescent Rd.,Derry,NH,3038
100925,9455 Littleton St.,Westford,MA,1886
100926,29 Leeton Ridge Lane,Sanford,NC,27330
100927,7865 Yukon Lane,Wallingford,CT,6492
100928,288 West Logan Street,Piedmont,SC,29673
100929,920 New Saddle St.,Elizabeth,NJ,7202
100930,330 Alderwood Street,Syosset,NY,11791
100931,983 Virginia Rd.,Saint Paul,MN,55104
100932,12 North Essex St.,Berwyn,IL,60402
100933,8669 Canterbury Lane,Marlton,NJ,8053
100934,8032 Valley Farms Street,Port Saint Lucie,FL,34952
100935,96 Tallwood Drive,Drexel Hill,PA,19026
100936,516 Nicolls Ave.,Pomona,CA,91768
100937,17 Shub Farm Ave.,Westbury,NY,11590
100938,7335 Harrison St.,Galloway,OH,43119
100939,9477 Arcadia Court,Midlothian,VA,23112
100940,85 Holly Street,Canton,GA,30114
100941,8750 Howard Dr.,Wantagh,NY,11793
100942,8225 Cherry St.,Westport,CT,6880
100943,7917 Homewood St.,Sunnyside,NY,11104
100944,78 E. Smoky Hollow Ave.,Owensboro,KY,42301
100945,402 Halifax Court,Warwick,RI,2886
100946,9111 Glendale St.,Danbury,CT,6810
100947,845 North Madison Lane,Lorton,VA,22079
100948,65 Marsh St.,Montclair,NJ,7042
100949,25 Buckingham Lane,Fair Lawn,NJ,7410
100950,7189 Sulphur Springs Street,Fairfield,CT,6824
100951,53 South San Carlos Circle,Winter Haven,FL,33880
100952,63 East Linda Street,Massapequa,NY,11758
100953,381 E. Heather Rd.,Great Falls,MT,59404
100954,4 James Ave.,Reisterstown,MD,21136
100955,91 Sunset Drive,Ladson,SC,29456
100956,2 Trout Lane,Waterbury,CT,6705
100957,742 W. Charles Circle,Pompano Beach,FL,33060
100958,694 Fawn Street,Pasadena,MD,21122
100959,367 North Market St.,Vernon Hills,IL,60061
100960,22 Old Fremont Ave.,Richmond,VA,23223
100961,8289 Carson Street,Pueblo,CO,81001
100962,420 East Adams St.,Rockford,MI,49341
100963,556 Madison Avenue,Latrobe,PA,15650
100964,591 South Edgewater Lane,Cuyahoga Falls,OH,44221
100965,9346 Shady Dr.,Midland,MI,48640
100966,29 Ann St.,Hernando,MS,38632
100967,9802 Summer St.,Bronx,NY,10451
100968,9270 Ridge St.,Dublin,GA,31021
100969,60 Bank Street,Poughkeepsie,NY,12601
100970,849 East Wild Horse Court,Lemont,IL,60439
100971,38 W. Strawberry Street,Mount Vernon,NY,10550
100972,53 Brewery Road,Dover,NH,3820
100973,803 Grand St.,Torrington,CT,6790
100974,98 East Clinton Street,Canal Winchester,OH,43110
100975,9610 N. Sherman Ave.,South Richmond Hill,NY,11419
100976,8308 Oak Meadow Street,Banning,CA,92220
100977,8097 Wentworth Street,Woburn,MA,1801
100978,8748 Amerige Circle,Statesville,NC,28625
100979,86 Arcadia St.,Smithtown,NY,11787
100980,4 Hickory Lane,Perth Amboy,NJ,8861
100981,8303 Augusta St.,Maumee,OH,43537
100982,311 Orange Dr.,Pittsfield,MA,1201
100983,919 W. Studebaker Street,Bluffton,SC,29910
100984,166 East Woodside Lane,Manchester Township,NJ,8759
100985,7073 High Point Rd.,Beloit,WI,53511
100986,296 North Glenlake Dr.,Savage,MN,55378
100987,6 Buttonwood Lane,Tullahoma,TN,37388
100988,9046 Paris Hill Street,East Brunswick,NJ,8816
100989,30 Monroe Dr.,Windermere,FL,34786
100990,480 Van Dyke Road,Grove City,OH,43123
100991,126 2nd Ave.,Ponte Vedra Beach,FL,32082
100992,8132 Westminster Street,Mooresville,NC,28115
100993,8591 East Alton Court,Hilliard,OH,43026
100994,939 Inverness Lane,Boynton Beach,FL,33435
100995,970 North Shady St.,Grand Island,NE,68801
100996,444 Spring Court,Arvada,CO,80003
100997,203 Jennings Ave.,Baldwin,NY,11510
100998,88 Bridle St.,New Berlin,WI,53151
100999,5 Elmwood Dr.,Largo,FL,33771
101000,60 Bald Hill Lane,Myrtle Beach,SC,29577
101001,6 W. 53rd Court,Klamath Falls,OR,97603
101002,635 Linda Rd.,Blackwood,NJ,8012
101003,570 Newport Dr.,Brentwood,NY,11717
101004,74 White Court,East Elmhurst,NY,11369
101005,410 Evergreen Rd.,Lagrange,GA,30240
101006,9967 Leatherwood St.,Portage,IN,46368
101007,51 NE. Myers Court,Ossining,NY,10562
101008,62 Bank Drive,Chippewa Falls,WI,54729
101009,2 Taylor Avenue,Bear,DE,19701
101010,926 Rockwell Lane,Beltsville,MD,20705
101011,823 North Lawrence Street,North Augusta,SC,29841
101012,1 W. Greenrose Rd.,Jonesborough,TN,37659
101013,286 Jefferson Lane,Marshalltown,IA,50158
101014,6 Pheasant Ave.,La Vergne,TN,37086
101015,8435 Brickell St.,Los Banos,CA,93635
101016,402 King St.,Lacey,WA,98503
101017,7379 Buttonwood St.,Attleboro,MA,2703
101018,958 Manchester Road,North Bergen,NJ,7047
101019,9212 Hilltop Road,De Pere,WI,54115
101020,31 Thatcher Road,Havertown,PA,19083
101021,34 Magnolia Drive,Dallas,GA,30132
101022,7620 York Dr.,Glenview,IL,60025
101023,11 North Longbranch St.,Virginia Beach,VA,23451
101024,918 Cleveland Street,Portsmouth,VA,23703
101025,7982 Lincoln Road,Hopkins,MN,55343
101026,8 Indian Summer Ave.,Freehold,NJ,7728
101027,8732 Boston Street,Rolla,MO,65401
101028,501 Argyle St.,Clarksville,TN,37040
101029,8344 E. Blue Spring Drive,Grand Blanc,MI,48439
101030,68 Military Drive,Oxon Hill,MD,20745
101031,7978 Theatre St.,Amsterdam,NY,12010
101032,659 Brookside Dr.,Rockville,MD,20850
101033,801 Cross Rd.,Chesterfield,VA,23832
101034,509 Grove Street,South Bend,IN,46614
101035,796 Plumb Branch St.,Brookline,MA,2446
101036,8326 Euclid Rd.,Parkersburg,WV,26101
101037,13 E. Mayfield Street,Ashburn,VA,20147
101038,7773 East Briarwood Dr.,Palm Bay,FL,32907
101039,8334 N. Ridgewood St.,Westmont,IL,60559
101040,9779 Glenlake St.,Gwynn Oak,MD,21207
101041,37 Tunnel Street,Wilmington,MA,1887
101042,821 Clark Street,Pickerington,OH,43147
101043,9891 Lees Creek Ave.,Taunton,MA,2780
101044,2 Birch Hill Ave.,Port Richey,FL,34668
101045,87 Pearl Court,Apopka,FL,32703
101046,7006 Bowman Rd.,Clementon,NJ,8021
101047,7112 Parker Dr.,Deerfield,IL,60015
101048,7256 Bedford Dr.,Wenatchee,WA,98801
101049,569 Greystone Dr.,Colorado Springs,CO,80911
101050,902 West Glendale Road,Salem,MA,1970
101051,351 East Street,Osseo,MN,55311
101052,905 Newport Lane,Roanoke,VA,24012
101053,184 Thorne St.,Germantown,MD,20874
101054,36 North North Dr.,Eau Claire,WI,54701
101055,94 North Harvard Ave.,Orlando,FL,32806
101056,254 North Kingston Dr.,Gloucester,MA,1930
101057,673 Bedford St.,Hartsville,SC,29550
101058,46 E. Beechwood Court,Reston,VA,20191
101059,81 East Lilac Lane,Coram,NY,11727
101060,64 Buckingham Ave.,Point Pleasant Beach,NJ,8742
101061,8032 Tunnel Lane,Lockport,NY,14094
101062,7747 West Sussex Ave.,Columbia,MD,21044
101063,50 W. Locust Ave.,Mankato,MN,56001
101064,9914 South Glen Ridge Avenue,Milledgeville,GA,31061
101065,576 Vermont Court,Haines City,FL,33844
101066,290 W. Fairground Street,Park Ridge,IL,60068
101067,848 Golden Star Ave.,Fort Wayne,IN,46804
101068,9643 Somerset St.,Hixson,TN,37343
101069,653 Brown St.,Roseville,MI,48066
101070,862 Chestnut Lane,Marquette,MI,49855
101071,9705 South Street,El Paso,TX,79930
101072,7500 S. Jockey Hollow Ave.,Aliquippa,PA,15001
101073,2 Linda Dr.,Victoria,TX,77904
101074,778 Lantern Street,Garner,NC,27529
101075,8938 Manhattan St.,Munster,IN,46321
101076,22 W. Manchester Ave.,Highland,IN,46322
101077,704 Marvon Dr.,Stoughton,MA,2072
101078,9276 Helen Drive,Skokie,IL,60076
101079,8438 San Carlos St.,Milwaukee,WI,53204
101080,708 Ridgewood Drive,Naugatuck,CT,6770
101081,355 Berkshire St.,Bardstown,KY,40004
101082,177 Henry Smith Ave.,Southaven,MS,38671
101083,47B North Creek Court,Hamburg,NY,14075
101084,486 Harrison Lane,Dundalk,MD,21222
101085,7797 Boston Street,Oxford,MS,38655
101086,697 St Paul Ave.,Evans,GA,30809
101087,8248 Beech Street,Yuba City,CA,95993
101088,771 Mulberry Ave.,Marietta,GA,30008
101089,8324 N. Big Rock Cove Dr.,Glen Cove,NY,11542
101090,7950 Trusel St.,Pikesville,MD,21208
101091,773 Sierra Lane,Bloomington,IN,47401
101092,9525 Bay Meadows Ave.,North Haven,CT,6473
101093,135 Albany Drive,Mcdonough,GA,30252
101094,58 Westminster Ave.,Mount Pleasant,SC,29464
101095,7672 Hillcrest Ave.,Bettendorf,IA,52722
101096,532 N. Glen Creek Rd.,Egg Harbor Township,NJ,8234
101097,526 Paris Hill St.,Apple Valley,CA,92307
101098,9790 West Birchpond St.,Glastonbury,CT,6033
101099,118 Bay Street,Williamsport,PA,17701
101100,8571 South Maiden St.,Royersford,PA,19468
101101,38 Arnold Street,Spartanburg,SC,29301
101102,523 Wall Circle,Elk Grove Village,IL,60007
101103,290 Westminster Ave.,New Lenox,IL,60451
101104,8788 Queen Drive,Camden,NJ,8105
101105,654 Victoria Dr.,Everett,MA,2149
101106,70 S. Arlington St.,Far Rockaway,NY,11691
101107,8576 Hilltop Ave.,Sebastian,FL,32958
101108,9 Canterbury Ave.,Crawfordsville,IN,47933
101109,131 Central Ave.,Rome,NY,13440
101110,8140 Studebaker Court,Campbell,CA,95008
101111,69 Inverness St.,Norristown,PA,19401
101112,836 Front St.,Durham,NC,27703
101113,932 Manor Street,Chicopee,MA,1020
101114,35 Indian Summer Street,Toms River,NJ,8753
101115,9703 Arnold Drive,Chaska,MN,55318
101116,2 Pennsylvania St.,Starkville,MS,39759
101117,6 Bow Ridge Rd.,Macungie,PA,18062
101118,8393 Alton Street,Beachwood,OH,44122
101119,9368 Strawberry Lane,Lakewood,NJ,8701
101120,62 John St.,West Bend,WI,53095
101121,95 South Street,Stillwater,MN,55082
101122,467 Taylor Ave.,Cedar Rapids,IA,52402
101123,72 Meadowbrook St.,Jamaica,NY,11432
101124,69 Bridle Drive,Georgetown,SC,29440
101125,92 Arch Ave.,Abingdon,MD,21009
101126,31 North St Paul Street,Massillon,OH,44646
101127,972 8th Drive,Salisbury,MD,21801
101128,738 Goldfield Drive,Lady Lake,FL,32159
101129,39 Sunnyslope St.,Harrisburg,PA,17109
101130,947 East Lane,Ronkonkoma,NY,11779
101131,90 William Street,Southington,CT,6489
101132,96 Windfall Ave.,Clarkston,MI,48348
101133,78 Eagle Lane,Woonsocket,RI,2895
101134,907 Sierra Court,Commack,NY,11725
101135,49 West Oakland Street,Miami Beach,FL,33139
101136,474 S. Smoky Hollow Street,Streamwood,IL,60107
101137,157 Tanglewood St.,Bethpage,NY,11714
101138,21 John Ave.,Shelton,CT,6484
101139,9223 South Maple Drive,Asheboro,NC,27205
101140,888 Orange St.,Land O Lakes,FL,34639
101141,66 Atlantic Street,Lawrenceville,GA,30043
101142,44 Rockland St.,Franklin,MA,2038
101143,51 Poor House Avenue,Covington,GA,30014
101144,31 Princess Street,New Bedford,MA,2740
101145,602 South Division St.,Lake In The Hills,IL,60156
101146,9 Sulphur Springs Street,Elizabethton,TN,37643
101147,450 Meadow St.,Oak Forest,IL,60452
101148,634 Mulberry Dr.,Ephrata,PA,17522
101149,89 South Vine Dr.,Venice,FL,34293
101150,8964 Lyme Drive,Reidsville,NC,27320
